"code","iso","country","CDA.ind.1995","CDA.ind.1996","CDA.ind.1997","CDA.ind.1998","CDA.ind.1999","CDA.ind.2000","CDA.ind.2001","CDA.ind.2002","CDA.ind.2003","CDA.ind.2004","CDA.ind.2005","CDA.ind.2006","CDA.ind.2007","CDA.ind.2008","CDA.ind.2009","CDA.ind.2010","CDA.ind.2011","CDA.ind.2012","CDA.ind.2013","CDA.ind.2014","CDA.ind.2015","CDA.ind.2016","CDA.ind.2017","CDA.ind.2018","CDA.ind.2019","CDA.ind.2020","CDA.ind.2021","CDA.ind.2022","CDA.ind.2023","CDA.ind.2024"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,26.1,39.4,45.7,46.1,38.4,38.4,38.4,38.4
8,"ALB","Albania",81.2,81.2,81.2,81.2,81.2,59.7,37.1,23.5,10.2,6.2,3.2,7,21.4,34.1,36.8,39.3,40,41,37.8,33.7,35.9,41.3,44.4,47.6,51.8,54.2,52.9,54.7,54.7,54.7
12,"DZA","Algeria",38.5,38.5,38.5,38.5,38.5,42.9,46.8,49.9,52.4,54.4,48.6,44.6,43.4,38,35.3,35.8,36.2,35.5,34.8,35.3,31.9,31.7,31.6,32.4,32.6,36,38.3,40.7,40.7,40.7
20,"AND","Andorra",50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,50.8,51.9,55.8,59.8,59.8,59.8
24,"AGO","Angola",0,0,0,0,0,0,0,17.9,36.1,41.7,48.5,49.1,48.6,46.2,41.2,36.7,33.6,29.9,26.4,26.4,29.8,34.7,41.7,49.3,55.4,59.2,60,54.7,54.7,54.7
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",34.6,34.6,34.6,34.6,34.6,33,31.6,30.1,29,28.2,28.2,27.6,27.1,28.2,29.3,32.1,36.2,39.1,42.1,44.7,46.1,46,45.5,44.9,43.2,43.3,45,46.3,46.3,46.3
32,"ARG","Argentina",39.1,39.1,39.1,39.1,39.1,39.5,41.2,44.3,46.8,46.3,45.2,42.3,39.9,36.4,33.8,32.2,32.9,37.2,41.8,44,45.9,46.9,48.7,49.6,51.1,52.4,52.1,50.8,50.8,50.8
51,"ARM","Armenia",65.1,65.1,65.1,65.1,65.1,59.7,51.4,39.2,41.8,42.8,35.7,37.6,32,25.1,29.4,32.2,32.2,34.4,37.3,40.4,41.6,44.8,43.5,39.3,40,41.5,40.3,39,39,39
533,"ABW","Aruba",26.9,26.9,26.9,26.9,26.9,6,0,0,0,0,0,0,0,18.9,44.1,47,49.8,53.9,62.3,71.7,88.5,100,100,100,100,88.5,61.6,61.6,61.6,61.6
36,"AUS","Australia",40.5,40.5,40.5,40.5,40.5,39.7,39.4,39.5,40,40.4,40.9,41.6,42.4,42.8,43.2,44,45.1,46.2,47.8,49.2,50,50.1,49.8,49.2,48.6,49.2,50.2,50.8,50.8,50.8
40,"AUT","Austria",46.4,46.4,46.4,46.4,46.4,46.5,44.2,43.9,42.7,42.5,41.7,41.3,42.3,44,48.6,51.5,55.7,61.9,62.1,63.5,61.1,58.1,54,52.2,52.2,52.1,50.9,52.5,52.5,52.5
31,"AZE","Azerbaijan",59.5,59.5,59.5,59.5,59.5,65.3,75.3,78.1,67,53,47.5,44.2,45.6,43.3,46.4,49.9,52.7,54,52.8,50.1,46.5,42.6,42.4,40.5,40.2,43.5,44.4,44.5,44.5,44.5
44,"BHS","Bahamas",51,51,51,51,51,47.5,44.8,42.7,42.5,42.9,44.6,47.4,54.5,55.9,51.4,47.8,47.4,46.7,45.9,44.2,43.6,44.7,43.7,44.3,42.6,43.2,45.8,49,49,49
48,"BHR","Bahrain",26.3,26.3,26.3,26.3,26.3,26.8,35.1,46.1,45.5,47.4,47.6,47.5,39.5,29.5,23.1,16.5,18.7,24.2,27.7,32.6,36.4,43.6,43.8,42.4,39.8,37.9,37.3,39.5,39.5,39.5
50,"BGD","Bangladesh",22.3,22.3,22.3,22.3,22.3,22.5,21,21.4,23.3,24.8,23.8,22.9,22.8,24.3,25.1,25.7,24.4,23.8,24.7,25.2,25.1,24.7,25.3,27,24.9,25.5,26.4,27.4,27.4,27.4
52,"BRB","Barbados",39.7,39.7,39.7,39.7,39.7,35.9,32.1,30,34.1,38.5,41.5,44.9,45.5,43.3,42,41.8,42.3,45,47.3,50.6,52.8,54,57.2,59.3,59.7,64.1,62.2,59.2,59.2,59.2
112,"BLR","Belarus",61.5,61.5,61.5,61.5,61.5,68.4,74.9,73.6,66.1,58.9,54.9,50.1,47.4,44.4,43.3,43.1,44.4,45.9,47,47.6,49.7,50.6,51.5,50.6,50.7,50.9,51,50.8,50.8,50.8
56,"BEL","Belgium",47.7,47.7,47.7,47.7,47.7,48.3,48.6,49,49.6,49.6,50.1,50.1,52.5,52.8,58.8,60.6,65.3,69.1,70,71.1,69.1,66.4,63.7,58.7,57.4,55.9,55,56.8,56.8,56.8
84,"BLZ","Belize",49.6,49.6,49.6,49.6,49.6,51.6,44.8,42.9,40.3,40.7,39.5,43.1,40.8,42.7,43.3,41.5,37.4,39.6,42.6,46.8,43.2,40.9,38.6,40.3,35.7,34.6,30.5,32.2,32.2,32.2
204,"BEN","Benin",9.2,9.2,9.2,9.2,9.2,11,12.4,11.7,8.7,6,8.2,2.4,0,1.1,1.9,5.6,12.3,18.1,23.2,28.1,34.8,32.8,28.8,25.5,24.3,21.1,19.9,22,22,22
60,"BMU","Bermuda",48.8,48.8,48.8,48.8,48.8,49.7,48.4,50,48.2,46.2,44.7,41.3,36.7,36.3,44.1,46,51.1,52.3,53.3,56.1,56.8,53.5,43.8,33.9,36,38.3,48.2,58.7,58.7,58.7
64,"BTN","Bhutan",10.2,10.2,10.2,10.2,10.2,9.2,12.8,14.2,25.8,40.8,47.6,51.9,50.8,48.8,48.6,43,30.2,15.1,3.8,0,0,0,0,0,5.3,27.7,38.2,38.2,38.2,38.2
68,"BOL","Bolivia",47.4,47.4,47.4,47.4,47.4,53.9,59.3,55.2,48.9,48,47.2,45.1,39.2,34.2,29.7,31.4,33.1,30.9,29.6,28,26.3,25.5,25.6,27.5,30.9,39.1,42.5,45,45,45
70,"BIH","Bosnia and Herzegovina",0,0,0,0,0,0,0,0,0,0,3.8,21.6,27.3,27.4,30.5,28.7,27.4,28.6,32.1,38.2,45.3,47.4,50,50.3,51.9,53,50.9,50.5,50.5,50.5
72,"BWA","Botswana",43.7,43.7,43.7,43.7,43.7,40.5,39.1,37.4,34.6,33.7,32.7,35.6,39.6,39.5,45.6,44.5,46.3,42.6,38.6,31.9,31.7,29.1,25.6,21.6,26.6,34.4,43.9,45.1,45.1,45.1
76,"BRA","Brazil",31.3,31.3,31.3,31.3,31.3,31.2,31.7,33.5,36.3,38.6,41,42.6,42.5,41.6,42.4,40.3,38,35.2,33.1,30.7,31.4,35.1,38.5,42.4,48.6,51.4,51.8,53.4,53.4,53.4
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",54.4,54.4,54.4,54.4,54.4,65.2,63.1,64,57.6,57.6,56.5,47.7,38,28.9,24,22.8,20.4,24.1,31.1,36.2,49.5,52.4,51.6,48.1,45,41.8,35.1,30.4,30.4,30.4
100,"BGR","Bulgaria",51.4,51.4,51.4,51.4,51.4,51.3,51.4,54.2,54,54.3,53.1,50.6,45.6,42.1,45.8,48.9,48.2,51.4,56.3,60.5,60,60.7,55.3,53.8,58.5,65.3,60.3,54.1,54.1,54.1
854,"BFA","Burkina Faso",31.3,31.3,31.3,31.3,31.3,27.3,25,24.5,24.9,26.7,31.5,31.7,28.1,24.1,20.7,15,12.7,9.3,6.8,8.2,8.5,8.3,5.8,3.7,3.5,7.3,11.7,15.1,15.1,15.1
108,"BDI","Burundi",43.1,43.1,43.1,43.1,43.1,43.1,46.9,52.9,67.6,72.6,85.1,86.9,79.4,67.3,63.2,42.4,29.1,16.2,12.9,8.6,13.8,14,11.8,8.1,14.7,11.1,6.2,4.9,4.9,4.9
132,"CPV","Cabo Verde",28.5,28.5,28.5,28.5,28.5,23,18.7,13.7,11.7,13.1,14.4,15.1,18.2,25.1,28.1,31.7,31.9,37,41.4,46.2,50.2,52.5,52.8,54.6,51.9,50.5,44.7,43.2,43.2,43.2
116,"KHM","Cambodia",28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.4,28.7,27.2,25.6,25.1,19.7,14.9,10.9,7.2,7.1,9.4,11,9.5,5.4,0.6,0,0,0,0,0,0,0
120,"CMR","Cameroon",8.6,8.6,8.6,8.6,8.6,14,22.6,35,47.4,49.2,50.2,48.4,42.4,38.2,32.8,28.4,26.8,29.5,31.6,32.7,34.8,39.1,39.2,40.7,39.6,39.2,39.2,43.6,43.6,43.6
124,"CAN","Canada",41.6,41.6,41.6,41.6,41.6,40.2,40.6,41.1,41.9,42.9,44.4,46,46.4,47.7,49.9,50.7,51.6,52.6,51.7,51.1,50.5,50.8,49.6,48.6,48.9,50.6,51.7,52.5,52.5,52.5
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",41,41,41,41,41,41.2,40.6,41.1,43.8,46,48.7,50.2,51.2,63.4,74.1,79,75.2,68.7,71.5,66.9,60,54.2,44.2,38.9,34.8,30.1,23.3,19.4,19.4,19.4
148,"TCD","Chad",39.9,39.9,39.9,39.9,39.9,39.9,39.9,38.7,27.9,19.5,13.4,9.3,5.6,10.9,11,14.8,21.7,24.8,15.8,9.2,4.7,3.7,4.1,14.4,21.1,30.6,40.4,45.8,45.8,45.8
152,"CHL","Chile",16.3,16.3,16.3,16.3,16.3,15.4,21.4,28.3,35.9,41.2,45.5,46.8,43.6,40.8,38.6,36.3,35.6,35.5,36.5,38.5,39.9,40.8,40.6,41.1,42.3,46.1,45.7,46.7,46.7,46.7
156,"CHN","China",33.6,33.6,33.6,33.6,33.6,35.7,38.1,38.8,36.1,32.6,26.8,20.3,15.1,12.9,12.1,12.7,14.7,18.2,21,25.3,29.8,34.4,38.3,41.4,43.9,45.2,44.2,43.1,43.1,43.1
170,"COL","Colombia",48.1,48.1,48.1,48.1,48.1,51.2,55.5,58.2,58,56.7,54.3,52.2,49.4,43.4,40.3,36.8,34.6,33.1,30.7,29.2,28.3,28.2,32.9,38.2,40.8,44.4,47.4,49.2,49.2,49.2
174,"COM","Comoros",33.6,33.6,33.6,33.6,33.6,31.5,30.8,31,26.4,23.2,22.6,20.6,30.8,38.9,42.2,41.5,44.7,47.6,42.3,39,34.5,23.1,20.1,18.8,15.1,6.1,3,3.4,3.4,3.4
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",24.2,24.2,24.2,24.2,24.2,30,34.4,35.9,37.6,33.3,32.9,33.9,32.7,32.1,33.2,37,41.5,44.9,46.4,47.4,50.3,51.8,49.3,47.1,46.7,49.7,50.2,50.5,50.5,50.5
384,"CIV","Cote d'Ivoire",25.8,25.8,25.8,25.8,25.8,25,25.5,32.5,42.4,50.7,50.7,48.5,47.8,48.3,56.1,58.8,55.7,45.6,43.8,35.6,28.8,20.6,15.9,17.4,25.3,32.5,39.8,42.7,42.7,42.7
191,"HRV","Croatia",36,36,36,36,36,36,36,36,36,36,37.1,38.7,38.8,40.7,44.1,49,51.7,54,54.6,52.7,50.7,53.7,54.6,57.1,56.1,55.9,54.1,52.9,52.9,52.9
192,"CUB","Cuba",50.5,50.5,50.5,50.5,50.5,44.8,39.2,40.2,42.9,45.4,46.3,46.7,46.7,46,45.5,40.5,40.6,40.8,42.6,45.8,47.2,49.4,56.6,66.9,76.1,70.9,68,62.3,62.3,62.3
531,"CUW","Curacao",41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,48.7,49.3,46.7,46.6,43.1,39.7,40.4,43.5,49.7,61.1,63.4,58.5,58.5,58.5,58.5
196,"CYP","Cyprus",35.4,35.4,35.4,35.4,35.4,37.3,39,39.7,39.4,38.7,39.3,39.3,39.4,39.2,40,41.7,45.4,50.2,54.6,55.7,55.2,53.8,52.4,51.8,50.7,50.3,48.9,48.6,48.6,48.6
203,"CZE","Czech Republic",67.3,67.3,67.3,67.3,67.3,64.4,60.8,58,54.2,52.3,51.3,49.6,48.2,48.7,52.9,54.5,56.2,59.7,61.8,63.8,64.8,63.3,59.1,57.1,58,59.8,59.1,57.8,57.8,57.8
180,"COD","Dem. Rep. Congo",56,56,56,56,56,57.2,58.4,56.5,51.7,52.3,52.4,51.5,44.4,32.4,27.9,28.4,29.8,34.6,29.3,22.1,26,36.2,39.7,41.4,45.4,47.5,47.1,51.8,51.8,51.8
208,"DNK","Denmark",46.1,46.1,46.1,46.1,46.1,53.3,55.7,62.6,63.6,64.8,69.6,57.1,53.6,53.7,55.3,59.1,62.9,67.2,63.3,67.2,75.6,78.1,80.9,81.1,81.7,80.6,78.2,77.9,77.9,77.9
262,"DJI","Djibouti",51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4
212,"DMA","Dominica",33.3,33.3,33.3,33.3,33.3,29.3,26.4,28.1,28,23.6,17.5,18.4,15.7,18.7,21.9,24.6,30.4,38,45.3,47.8,48.3,51.3,51.8,51.8,49.3,49.1,50.4,50.7,50.7,50.7
214,"DOM","Dominican Republic",14.7,14.7,14.7,14.7,14.7,17.2,21.6,24.9,29.3,39.9,44.9,47,47.7,48,49.4,48.9,47.7,44.8,41.4,43,43.1,41.8,41.1,39.3,37.3,40.1,42.3,45.2,45.2,45.2
218,"ECU","Ecuador",37.8,37.8,37.8,37.8,37.8,42.7,46.7,43.2,36,41.4,36.1,30.8,30.1,30.3,30.9,33.2,33.9,36,36.5,34.7,34.8,38.2,39.3,44.6,47.5,51.5,51.9,52.3,52.3,52.3
818,"EGY","Egypt",25.6,25.6,25.6,25.6,25.6,23.2,25.9,29.9,29.1,31.4,31.2,32.5,32.1,30.1,28.8,27,28.8,33.1,36.2,38.8,41,41.5,40.3,40.7,40,43.2,43.5,43.8,43.8,43.8
222,"SLV","El Salvador",15,15,15,15,15,23,27.7,33.3,35.6,37.4,38,41.6,41.4,42.2,44.5,47,48.6,49.8,51,53.6,53,50.7,50.7,50.8,47.1,47.1,43.9,40.8,40.8,40.8
226,"GNQ","Equatorial Guinea",0,0,0,0,0,0,0,0,0.9,0,0,0,0,1.6,11.8,17.1,24,34.4,42,37.8,36.2,33.8,33.6,39.8,53.5,54.9,55.8,54.9,54.9,54.9
232,"ERI","Eritrea",68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,62.6,52.6,50.1,48.1,58.3,59.4,63.5,62.8,60.1,55.6,50.9,44,42.6,40.6,44.5,44.4,44.4,44.4,44.4,44.4,44.4
233,"EST","Estonia",57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,54.3,50.8,44,42.3,46.9,46,45.4,47.9,45.9,45.3,49.1,51.4,47.7,47.5,67.4,86,94.6,100,100,100
748,"SWZ","Eswatini",35.3,35.3,35.3,35.3,35.3,30.7,32,36,46.8,48.4,49.7,65.1,64.5,62.4,55.7,52.5,50.9,46.6,40.8,49.5,54.8,53.8,55.2,54.6,50.8,50.3,49.3,42.6,42.6,42.6
231,"ETH","Ethiopia",48.2,48.2,48.2,48.2,48.2,42.8,33.7,25.6,16.7,17.5,19.8,21,21.5,21.7,25.8,30.9,29.8,28.4,23.2,15.2,11.3,7.2,3.8,2.1,4.1,10,15.4,22.6,22.6,22.6
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",48,48,48,48,48,44,40.1,39.1,35.6,28.3,28.2,25.7,27.4,38.3,51.4,54.3,55.2,63.2,60.5,48.2,41.7,34.2,26.6,27.1,33.7,39.6,46.6,51,51,51
246,"FIN","Finland",45.6,45.6,45.6,45.6,45.6,47,47.3,47.7,45.7,43.6,47.6,45.2,44.1,47.5,51.9,55,59.8,65.3,62.7,60.1,65.4,61.4,66.6,70,73,70.4,70.8,73.7,73.7,73.7
250,"FRA","France",49.2,49.2,49.2,49.2,49.2,49.3,47.7,47,47.1,48,48.7,49.2,51.1,52.3,54.9,57,60.5,63.1,63.4,65.9,65.5,64.2,62,61.2,61.6,62.5,61.9,60.9,60.9,60.9
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",34.9,34.9,34.9,34.9,34.9,35.4,35.9,36.8,36.9,42,45.5,49.2,56.3,60.3,65.6,65.3,60.5,57.7,51.4,46.3,41.3,39.2,42.7,46.7,51.5,52,53.2,57.5,57.5,57.5
