"code","iso","country","CDF.ind.1995","CDF.ind.1996","CDF.ind.1997","CDF.ind.1998","CDF.ind.1999","CDF.ind.2000","CDF.ind.2001","CDF.ind.2002","CDF.ind.2003","CDF.ind.2004","CDF.ind.2005","CDF.ind.2006","CDF.ind.2007","CDF.ind.2008","CDF.ind.2009","CDF.ind.2010","CDF.ind.2011","CDF.ind.2012","CDF.ind.2013","CDF.ind.2014","CDF.ind.2015","CDF.ind.2016","CDF.ind.2017","CDF.ind.2018","CDF.ind.2019","CDF.ind.2020","CDF.ind.2021","CDF.ind.2022","CDF.ind.2023","CDF.ind.2024"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,52.3,96.6,100,100,100,100,100,100,100
8,"ALB","Albania",100,100,100,100,100,85.9,46.3,22.3,0,0,0,0,18.7,41,45.8,50,51.3,53.1,47.5,40.2,44.2,53.7,59,64.8,72.2,76.3,74,77.2,77.2,77.2
12,"DZA","Algeria",26.9,26.9,26.9,26.9,26.9,33.9,39.9,44.7,48.6,51.8,42.8,36.6,34.6,26.2,22,22.8,23.5,22.4,21.3,22,16.7,16.5,16.3,17.6,17.8,23.1,26.7,30.4,30.4,30.4
20,"AND","Andorra",42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,44.1,50,56.2,56.2,56.2
24,"AGO","Angola",0,0,0,0,0,0,25.2,61.7,98.3,100,100,100,100,100,100,99.5,93.3,85.8,78.8,78.8,85.7,95.5,100,100,100,100,100,100,100,100
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",11.8,11.8,11.8,11.8,11.8,9.5,7.4,5.2,3.6,2.4,2.4,1.5,0.8,2.4,4,8.2,14.1,18.4,22.8,26.5,28.6,28.5,27.6,26.8,24.4,24.5,26.9,28.8,28.8,28.8
32,"ARG","Argentina",26.5,26.5,26.5,26.5,26.5,27.2,29.8,34.7,38.4,37.8,36,31.6,27.8,22.4,18.5,15.8,17,23.7,30.7,34.1,37.2,38.6,41.4,42.8,45.2,47.1,46.7,44.8,44.8,44.8
51,"ARM","Armenia",85.9,85.9,85.9,85.9,85.9,76.7,62.7,42.1,46.6,48.2,36.2,39.4,29.9,18.4,25.6,30.3,30.3,34,38.9,44.2,46.2,51.5,49.4,42.2,43.5,46,44,41.9,41.9,41.9
533,"ABW","Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,26.1,30.2,35.9,47.8,61.1,84.8,100,100,100,100,84.9,46.9,46.9,46.9,46.9
36,"AUS","Australia",10.4,10.4,10.4,10.4,10.4,9.3,8.9,9,9.6,10.2,10.9,11.9,12.8,13.4,13.9,15,16.4,18,20.1,21.8,22.9,23.1,22.6,21.9,21.1,21.8,23.3,24,24,24
40,"AUT","Austria",28.2,28.2,28.2,28.2,28.2,28.3,25,24.6,22.9,22.5,21.4,20.7,22.2,24.7,31.2,35.6,41.6,50.5,50.8,52.8,49.4,45.1,39.2,36.5,36.5,36.4,34.6,36.9,36.9,36.9
31,"AZE","Azerbaijan",61.1,61.1,61.1,61.1,61.1,70.1,86,90.3,72.9,50.8,42.1,36.9,39.1,35.5,40.4,45.9,50.4,52.4,50.5,46.2,40.5,34.4,34.1,31,30.6,35.8,37.2,37.3,37.3,37.3
44,"BHS","Bahamas",40.2,40.2,40.2,40.2,40.2,34.9,30.9,27.8,27.4,28.1,30.6,34.8,45.4,47.6,40.9,35.5,34.8,33.8,32.6,30.1,29.1,30.8,29.3,30.2,27.6,28.5,32.5,37.3,37.3,37.3
48,"BHR","Bahrain",0,0,0,0,0,0,0.1,14.2,13.4,15.9,16.1,16,5.7,0,0,0,0,0,0,0,1.8,11,11.2,9.4,6.2,3.7,2.9,5.8,5.8,5.8
50,"BGD","Bangladesh",59.1,59.1,59.1,59.1,59.1,59.5,56.6,57.4,61.1,64,62.1,60.3,60,63,64.6,65.7,63.3,62,63.7,64.7,64.6,63.7,65,68.2,64.2,65.4,67.2,69.1,69.1,69.1
52,"BRB","Barbados",26.3,26.3,26.3,26.3,26.3,20.5,14.5,11.3,17.7,24.4,29.2,34.3,35.3,31.9,29.9,29.6,30.4,34.6,38.1,43.2,46.6,48.5,53.3,56.7,57.3,64.2,61.1,56.4,56.4,56.4
112,"BLR","Belarus",51.1,51.1,51.1,51.1,51.1,61.1,70.7,68.8,57.8,47.2,41.5,34.4,30.5,26.1,24.4,24.2,26.1,28.3,29.9,30.7,33.8,35.1,36.4,35.2,35.4,35.5,35.8,35.5,35.5,35.5
56,"BEL","Belgium",28.1,28.1,28.1,28.1,28.1,28.9,29.3,29.9,30.7,30.8,31.4,31.5,34.9,35.3,43.8,46.5,53.2,58.6,59.9,61.4,58.6,54.8,50.8,43.7,42,39.8,38.5,41,41,41
84,"BLZ","Belize",68.2,68.2,68.2,68.2,68.2,71.6,59.8,56.4,51.8,52.5,50.5,56.8,52.8,56.1,57.1,54,46.8,50.7,55.9,63.2,57.1,52.9,49,51.9,43.9,41.9,34.6,37.7,37.7,37.7
204,"BEN","Benin",31,31,31,31,31,34.5,37.4,35.9,30,24.6,29.1,17.7,7.5,15,16.6,23.8,37.1,48.5,58.5,68.2,81.3,77.5,69.5,63.1,60.8,54.3,52.1,56.2,56.2,56.2
60,"BMU","Bermuda",31,31,31,31,31,32.3,30.5,32.7,30.2,27.3,25.1,20.2,13.5,13.1,24.2,27,34.4,36.1,37.6,41.6,42.6,37.8,23.8,9.6,12.6,15.8,30.2,45.4,45.4,45.4
64,"BTN","Bhutan",7.3,7.3,7.3,7.3,7.3,5.5,12.1,14.6,35.7,63,75.4,83.3,81.1,77.5,77.2,66.9,43.8,16.3,0,0,0,0,0,0,0,39.1,58.2,58.2,58.2,58.2
68,"BOL","Bolivia",65,65,65,65,65,76.4,86,78.7,67.7,66.2,64.7,61,50.6,41.9,34,36.9,39.8,36,33.7,30.9,27.9,26.5,26.7,30.1,36.1,50.5,56.4,60.8,60.8,60.8
70,"BIH","Bosnia and Herzegovina",0,0,0,0,0,0,0,0,0,0,0,0,1.7,1.8,6.4,3.8,1.8,3.7,8.8,17.8,28.2,31.3,35.2,35.6,38,39.6,36.6,36,36,36
72,"BWA","Botswana",43.5,43.5,43.5,43.5,43.5,38.1,35.9,33.1,28.5,26.9,25.3,30.2,36.7,36.5,46.6,44.7,47.7,41.6,35.1,24,23.7,19.4,13.6,7,15.3,28.1,43.7,45.7,45.7,45.7
76,"BRA","Brazil",29.5,29.5,29.5,29.5,29.5,29.4,30.1,33.2,37.9,41.8,45.8,48.5,48.4,46.9,48.1,44.7,40.7,36.1,32.4,28.4,29.6,35.9,41.6,48.2,58.7,63.4,64.1,66.8,66.8,66.8
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",25.3,25.3,25.3,25.3,25.3,39.2,36.5,37.6,29.5,29.5,28,16.8,4.3,0,0,0,0,0,0,2.1,19,22.7,21.8,17.3,13.3,9.2,0.7,0,0,0
100,"BGR","Bulgaria",34.6,34.6,34.6,34.6,34.6,34.5,34.6,38.7,38.4,38.8,37.1,33.5,26.3,21.2,26.5,31.1,30,34.6,41.7,47.6,47,48,40.1,38,44.8,54.5,47.5,38.4,38.4,38.4
854,"BFA","Burkina Faso",100,100,100,100,100,100,99.2,98.2,99.1,100,100,100,100,97.4,90.2,78.3,73.6,66.5,61.2,64.3,64.9,64.5,59.2,55,54.4,62.3,71.5,78.6,78.6,78.6
108,"BDI","Burundi",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
132,"CPV","Cabo Verde",52.7,52.7,52.7,52.7,52.7,42.2,34,24.5,20.8,23.3,25.9,27.3,33,46.2,51.9,58.8,59.2,68.7,77,86.2,93.8,98.2,98.7,100,97.1,94.4,83.3,80.5,80.5,80.5
116,"KHM","Cambodia",44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,45,42.4,39.4,38.4,28.5,19.7,12.3,5.4,5.3,9.6,12.4,9.8,2.1,0,0,0,0,0,0,0,0
120,"CMR","Cameroon",54.2,54.2,54.2,54.2,54.2,65.3,83.1,100,100,100,100,100,100,100,100,95.1,91.8,97.5,100,100,100,100,100,100,100,100,100,100,100,100
124,"CAN","Canada",12.4,12.4,12.4,12.4,12.4,10.6,11.2,11.8,12.8,14.2,16.2,18.3,18.9,20.7,23.6,24.6,25.9,27.2,26,25.2,24.3,24.8,23.2,21.8,22.3,24.6,26,27.1,27.1,27.1
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
148,"TCD","Chad",100,100,100,100,100,100,100,100,100,100,100,96,88.1,99.5,99.6,100,100,100,100,95.9,86.2,84.1,85,100,100,100,100,100,100,100
152,"CHL","Chile",0,0,0,0,0,0,0,9.2,20.8,29.1,35.7,37.7,32.7,28.4,25,21.5,20.5,20.3,21.8,25,27.1,28.5,28.1,28.9,30.8,36.5,36.1,37.5,37.5,37.5
156,"CHN","China",7.2,7.2,7.2,7.2,7.2,10.4,13.6,14.6,10.8,5.8,0,0,0,0,0,0,0,0,0,0,1.9,8.4,14,18.4,22,23.8,22.3,20.9,20.9,20.9
170,"COL","Colombia",63.1,63.1,63.1,63.1,63.1,68.6,76,80.8,80.4,78.1,74,70.3,65.3,55,49.5,43.4,39.5,37,32.7,30.1,28.7,28.5,36.7,45.8,50.3,56.6,61.8,65.1,65.1,65.1
174,"COM","Comoros",89.5,89.5,89.5,89.5,89.5,85.3,83.9,84.2,75.2,68.7,67.5,63.6,83.9,100,100,100,100,100,100,100,91.4,68.5,62.6,59.8,52.5,34.6,28.3,29,29,29
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",28.7,28.7,28.7,28.7,28.7,39.1,46.9,49.5,52.6,45,44.2,45.9,43.8,42.8,44.8,51.5,59.6,65.5,68.3,70,75.3,77.8,73.4,69.6,68.7,74.2,75.1,75.6,75.6,75.6
384,"CIV","Cote d'Ivoire",81.4,81.4,81.4,81.4,81.4,79.7,80.7,94.9,100,100,100,100,100,100,100,100,100,100,100,100,87.5,70.7,61.3,64.2,80.3,95,100,100,100,100
191,"HRV","Croatia",19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,21.5,24,24.1,27.2,32.3,39.9,44,47.7,48.5,45.5,42.5,47.1,48.5,52.3,50.9,50.5,47.7,45.8,45.8,45.8
192,"CUB","Cuba",68.3,68.3,68.3,68.3,68.3,58.3,48.6,50.3,55,59.4,60.9,61.6,61.6,60.3,59.6,50.9,51,51.3,54.4,60.1,62.4,66.2,78.7,96.6,100,100,98.5,88.7,88.7,88.7
531,"CUW","Curacao",14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,14.2,23.9,24.6,21.2,21,16.3,11.6,12.6,16.9,25.3,40.8,43.9,37.2,37.2,37.2,37.2
196,"CYP","Cyprus",15.5,15.5,15.5,15.5,15.5,18.3,20.8,21.8,21.4,20.3,21.3,21.3,21.4,21.1,22.2,24.8,30.3,37.5,43.9,45.6,44.8,42.8,40.6,39.9,38.1,37.5,35.5,35.1,35.1,35.1
203,"CZE","Czech Republic",52.6,52.6,52.6,52.6,52.6,48.6,43.6,39.7,34.4,31.7,30.3,28,26,26.7,32.6,34.8,37.1,42,44.9,47.7,49.2,47.1,41.2,38.4,39.7,42.2,41.2,39.4,39.4,39.4
180,"COD","Dem. Rep. Congo",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
208,"DNK","Denmark",33.6,33.6,33.6,33.6,33.6,44.5,48.1,58.5,60.1,61.9,69.1,50.2,45,45.1,47.5,53.3,59.1,65.5,59.6,65.6,78.2,82.1,86.2,86.6,87.4,85.9,82.1,81.7,81.7,81.7
262,"DJI","Djibouti",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
212,"DMA","Dominica",34.7,34.7,34.7,34.7,34.7,27.7,22.7,25.7,25.5,18,7.6,9.1,4.5,9.6,15.1,19.7,29.6,42.7,55.1,59.4,60.2,65.3,66.2,66.2,61.9,61.5,63.8,64.4,64.4,64.4
214,"DOM","Dominican Republic",2.7,2.7,2.7,2.7,2.7,7.1,14.5,20.2,27.7,45.8,54.4,58.1,59.3,59.7,62.1,61.2,59.3,54.3,48.5,51.1,51.3,49.1,47.9,44.9,41.5,46.2,50,54.9,54.9,54.9
218,"ECU","Ecuador",39.9,39.9,39.9,39.9,39.9,48,54.8,48.9,36.7,45.8,37,27.9,26.8,27.1,28.1,32,33.3,36.8,37.6,34.5,34.8,40.5,42.4,51.4,56.1,62.9,63.6,64.3,64.3,64.3
818,"EGY","Egypt",18.6,18.6,18.6,18.6,18.6,14.5,19.1,25.9,24.5,28.4,28.1,30.2,29.5,26.2,24,21,23.9,31.3,36.4,40.8,44.5,45.4,43.3,44.1,42.9,48.3,48.8,49.3,49.3,49.3
222,"SLV","El Salvador",19.1,19.1,19.1,19.1,19.1,34,42.6,52.8,57.1,60.5,61.6,68.1,67.7,69.3,73.6,78.2,81.1,83.3,85.6,90.3,89.3,84.9,84.9,85.2,78.3,78.3,72.4,66.7,66.7,66.7
226,"GNQ","Equatorial Guinea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,26.6,38.8,32,29.5,25.6,25.2,35.2,57.5,59.9,61.4,59.9,59.9,59.9
232,"ERI","Eritrea",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
233,"EST","Estonia",42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,37.4,32.5,22.7,20.3,26.9,25.6,24.8,28.3,25.4,24.6,30.1,33.3,28.1,27.8,56.1,82.7,95.1,100,100,100
748,"SWZ","Eswatini",61.7,61.7,61.7,61.7,61.7,53.2,55.6,63,83.2,86.3,88.7,100,100,100,99.9,93.8,91,82.9,72.1,88.2,98.3,96.3,98.9,97.8,90.7,89.8,87.9,75.3,75.3,75.3
231,"ETH","Ethiopia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,93.7,85,77.7,74.2,78.5,91,100,100,100,100
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",82,82,82,82,82,74.6,67.3,65.6,59,45.4,45.2,40.5,43.7,63.9,88.4,93.6,95.5,100,100,82.3,70.2,56.4,42.2,43.2,55.4,66.4,79.3,87.6,87.6,87.6
246,"FIN","Finland",27.7,27.7,27.7,27.7,27.7,29.8,30.1,30.7,27.8,24.8,30.6,27.1,25.5,30.4,36.8,41.4,48.4,56.3,52.5,48.7,56.4,50.6,58.2,63.1,67.4,63.7,64.3,68.5,68.5,68.5
250,"FRA","France",41.1,41.1,41.1,41.1,41.1,41.2,38.8,37.6,37.8,39.1,40.3,41.1,43.9,45.8,49.8,53.1,58.6,62.6,63,66.9,66.2,64.3,60.8,59.5,60.2,61.6,60.7,59.1,59.1,59.1
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",33.6,33.6,33.6,33.6,33.6,34.4,35.4,36.8,36.9,45.5,51.5,57.8,69.8,76.5,85.4,84.9,76.8,72,61.4,52.9,44.3,40.9,46.8,53.6,61.7,62.4,64.4,71.8,71.8,71.8
270,"GMB","Gambia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.6,98.9,98.2,96.7,99.3,99.3,99.3
268,"GEO","Georgia",92.5,92.5,92.5,92.5,92.5,99.8,100,100,63.5,41.3,55,43.5,29.9,20.5,12.5,4.8,0,3.6,11,14.6,13.7,8.5,4.9,13.7,18.3,28,30.2,32.7,32.7,32.7
276,"DEU","Germany",45.6,45.6,45.6,45.6,45.6,42.5,38.9,38.2,37.2,37.8,39,37,37.7,37.6,43,43.4,43.3,42.2,38.3,37.5,36.6,34.7,34.7,35.4,44.4,51.8,55.2,56.9,56.9,56.9
288,"GHA","Ghana",64.2,64.2,64.2,64.2,64.2,68.9,66.9,75.3,80.4,83.2,90.6,84,73.7,70.7,79.6,81.9,76.8,63.7,55.6,53.4,57,53.1,56.3,57.8,72.2,74.1,71.7,65.8,65.8,65.8
300,"GRC","Greece",25.1,25.1,25.1,25.1,25.1,22.7,21.2,20.6,20.7,21.5,22.5,24.8,26.2,28,32.9,37.3,38.4,38.7,38.6,39,37.9,37.7,39.6,42.2,49.9,51.8,62.9,64.8,64.8,64.8
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,"GRD","Grenada",10.2,10.2,10.2,10.2,10.2,11.9,16.2,20.2,25.5,29.8,33,35.7,36.4,36,34.1,34.1,36.7,36.5,32.2,42.1,47.1,49.6,50.6,46.8,42,42.7,40.8,36.9,36.9,36.9
320,"GTM","Guatemala",39,39,39,39,39,36.4,38.3,36,43.2,43.6,43.1,50.9,57.8,66.3,73.9,80,84.4,86.2,85.9,81.2,68.7,55.9,45,40.1,35.3,41.9,46.7,56.1,56.1,56.1
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",100,100,100,100,100,100,100,99.8,99.4,100,100,100,100,100,100,100,97.5,99,100,100,100,100,100,100,98.6,79.3,59.6,49.3,49.3,49.3
624,"GNB","Guinea-Bissau",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
328,"GUY","Guyana",0,0,0,0,0,0,5.3,18,31.4,34.2,41.7,51.1,48.8,48.2,42.1,39.6,36.5,34.9,32,26.6,27.9,28,25.4,24.1,17.8,9.7,0,0,0,0
332,"HTI","Haiti",100,100,100,100,100,77.9,48.3,18.4,15.1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",30.2,30.2,30.2,30.2,30.2,30.3,31.5,32.9,33.9,34.7,36.2,37.7,41,40.2,48.2,57.9,61.6,65.3,66.5,66.6,68.2,70.1,68.9,69.3,68.7,77.9,78.5,77.7,77.7,77.7
344,"HKG","Hong Kong",24,24,24,24,24,23.8,26.8,24.5,18.2,19.4,20.9,29.5,37.3,38.4,37.6,40.1,42.6,44.8,42.4,41.2,40.8,41.2,40.9,41.1,42.9,58.3,69.3,78.7,78.7,78.7
348,"HUN","Hungary",52.2,52.2,52.2,52.2,52.2,52.2,47.3,48.9,44.8,44.5,44.3,42.9,43.2,44.4,48.1,54.2,58.2,62.6,62.3,64.4,64.6,62.7,55.2,46.1,41.2,38.2,35,37.4,37.4,37.4
352,"ISL","Iceland",14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,17.2,18.4,16.7,14,11.7,11,13.5,15.8,19.3,22.8,27.6,32.5,32.6,29.1,27.4,28.3,28.5,28.4,28.4,28.4
356,"IND","India",28,28,28,28,28,29.1,31.2,33.3,36.1,38.1,38.9,36.5,33.2,30.5,25.4,22,20.6,19.3,20.3,21.1,23.5,25.2,27.3,28.5,30.4,37.4,41.3,42.6,42.6,42.6
360,"IDN","Indonesia",15.3,15.3,15.3,15.3,15.3,22.6,25,27.3,26.3,27.7,31.7,33.6,29.5,36.1,35,34,27.3,24.3,23.2,24.6,24.7,28.4,29.6,33.9,34.9,37.6,37,30.7,30.7,30.7
364,"IRN","Iran",1.7,1.7,1.7,1.7,1.7,0,0,0,0,0,0,0,3.5,7.1,5.8,7,8.1,9.9,12.7,13.7,15.2,16,15.6,14.8,15.8,18.1,20.5,22.6,22.6,22.6
368,"IRQ","Iraq",4.8,4.8,4.8,4.8,4.8,10.8,19.2,22.1,24.3,18.4,13.4,18.7,41.2,45.5,46.8,45.6,38.7,30.8,21.4,10.9,0,0,6.5,8.4,9.8,18.3,24.1,26.8,26.8,26.8
372,"IRL","Ireland",15.5,15.5,15.5,15.5,15.5,12.3,8.8,9,11.3,14.2,16.6,19.8,23.2,26.3,32,35.7,38.5,42.7,47.1,55.1,48.6,45.7,41.1,34.6,32.8,32.8,33.2,32,32,32
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,28.6,30.2,30.6,28.7,31,29,25.6,22.5,24.3,30.1,36,41.6,51,52.9,58.8,61.6,62.1,51.5,51.5,51.5
380,"ITA","Italy",32.5,32.5,32.5,32.5,32.5,31.2,30.3,29.5,28.7,29.1,28.5,29.5,31.2,33.2,37.3,39.1,42.9,44.4,42.7,39.8,38.5,39.2,42.5,48.4,53.1,50.4,49.5,45.4,45.4,45.4
388,"JAM","Jamaica",35.9,35.9,35.9,35.9,35.9,36.4,37.1,42,45.8,51.2,54.2,52,52.2,54.4,63,67.3,67.2,67.7,63.9,65.5,66.7,65.4,66.4,59.8,60.9,69.6,70.4,75.3,75.3,75.3
392,"JPN","Japan",25.5,25.5,25.5,25.5,25.5,25.7,26.5,26.7,27.5,27.3,26.9,27,26.4,29.1,31.5,32.4,32.6,31,29.8,29.2,29.3,30.1,30.1,33.5,43.4,51,51.6,48.4,48.4,48.4
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",37.2,37.2,37.2,37.2,37.2,38.6,44.8,44.1,45.5,41.1,36.3,32.8,30.2,31.8,35.4,40.8,46.2,47.7,50.7,49.1,46.5,46.9,45.2,47.6,50.8,62.5,71.7,78.1,78.1,78.1
398,"KAZ","Kazakhstan",32.8,32.8,32.8,32.8,32.8,40.3,48.3,41.4,27,16.6,5.3,0,0,0,0,0,0,4.9,8,9.3,10.2,9.9,8.4,7.3,11.7,15.8,21.6,25.1,25.1,25.1
404,"KEN","Kenya",60.7,60.7,60.7,60.7,60.7,55.8,72.3,94.7,100,100,100,100,100,100,100,84.2,67.3,66.1,75.4,81.3,80,76.6,79.1,82.5,79.5,77.3,70.6,73.3,73.3,73.3
296,"KIR","Kiribati",95,95,95,95,95,93.8,97.4,97.8,90.5,86.2,77.6,73.7,74.6,80.3,90.7,84.7,86.1,94.5,100,100,100,100,100,100,100,96.3,92.9,95.7,95.7,95.7
689,"XKX","Kosovo",38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,38.1,41.2,39.8,37.3,36.5,38,38,38
414,"KWT","Kuwait",0,0,0,0,0,0,0,13.1,13.6,9.1,2.5,0,0,0,0,0,0,0,2.1,12.1,13,10.3,10.8,9.6,7.1,8.1,9.1,4.7,4.7,4.7
417,"KGZ","Kyrgyzstan",98.2,98.2,98.2,98.2,98.2,100,100,100,97.3,78.2,80.2,73.2,59.9,39.4,36.9,40.6,48.3,39,33.1,26.5,27.6,37.4,44.5,41,54.8,76.6,90.8,89.6,89.6,89.6
418,"LAO","Laos",14.3,14.3,14.3,14.3,14.3,12.8,10,5.4,3.6,3.8,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
