"code","iso","country","CDF.ind.1995","CDF.ind.1996","CDF.ind.1997","CDF.ind.1998","CDF.ind.1999","CDF.ind.2000","CDF.ind.2001","CDF.ind.2002","CDF.ind.2003","CDF.ind.2004","CDF.ind.2005","CDF.ind.2006","CDF.ind.2007","CDF.ind.2008","CDF.ind.2009","CDF.ind.2010","CDF.ind.2011","CDF.ind.2012","CDF.ind.2013","CDF.ind.2014","CDF.ind.2015","CDF.ind.2016","CDF.ind.2017","CDF.ind.2018","CDF.ind.2019","CDF.ind.2020","CDF.ind.2021","CDF.ind.2022","CDF.ind.2023","CDF.ind.2024"
428,"LVA","Latvia",71,71,71,71,71,71,71,71,71,71,61.6,49.8,42.3,38.2,40.3,41.1,43.9,48.1,51,55.1,58.4,60.2,61.9,54.6,53.5,50.2,48.4,51.7,51.7,51.7
422,"LBN","Lebanon",0,0,0,0,0,0,3.8,10.3,13.5,20.7,28.1,40,49.6,45.4,36.8,33.7,29.7,24.3,16.2,9.6,4.5,6.8,14.7,20.2,21.7,31.3,39.3,39.3,39.3,39.3
426,"LSO","Lesotho",62.6,62.6,62.6,62.6,62.6,64.6,66.2,67.3,68,68,67.9,68,67.8,67.2,65.8,64.4,52.4,43.5,49.4,53.4,62.5,72.2,76.9,84.9,94.4,100,90.2,67.5,67.5,67.5
430,"LBR","Liberia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
434,"LBY","Libya",25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,28.3,25.8,27,29.4,36.9,32.6,28.8,29.3,30.9,31.2,24.2,25.8,19.9,15.6,15.6,15.6
438,"LIE","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,"LTU","Lithuania",66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,58.8,47.6,38.1,28.3,29.9,33.8,35.9,38.4,42.7,47,50.3,51.9,47.6,43.3,44.8,42.7,40.1,40,40,40
442,"LUX","Luxembourg",81.9,81.9,81.9,81.9,81.9,80.1,64.4,43.9,26.2,10.9,3.2,0,0,4,12.2,18,23.7,28.8,38.7,42.5,45.2,47.2,49.4,47.4,45.3,48.5,46.9,49.3,49.3,49.3
446,"MAC","Macao",40.8,40.8,40.8,40.8,40.8,41,41.3,50,57,58.3,61.2,65.9,75.6,93.1,82.8,93.6,98.4,100,100,100,86,63.2,49.5,64.5,57,71.8,82.1,93.9,93.9,93.9
450,"MDG","Madagascar",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.3,100,100,100,100,100,100,100
454,"MWI","Malawi",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
458,"MYS","Malaysia",0,0,0,0,0,0,0.9,7,6,5.3,0.2,0,0,0,1.3,4.1,7.1,11.5,9.6,6.6,7.3,9.9,12.7,12.1,13.1,14.7,16.6,17.5,17.5,17.5
462,"MDV","Maldives",0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.7,2,6.1,1,8.5,3.3,9.2,7.5,7.1,3.5,0,5.6,12.3,18.5,18.5,18.5
466,"MLI","Mali",62.4,62.4,62.4,62.4,62.4,55,52.8,54.6,60.4,64.8,72.8,82.8,87.9,83.8,86.9,86.7,84.7,84.1,83.6,78.2,77,69.2,58.6,50.3,45.7,42.6,42.7,50,50,50
470,"MLT","Malta",45.9,45.9,45.9,45.9,45.9,47.9,49.3,51.6,43.1,39.5,42.3,44.1,45.2,47.7,52.5,61.5,64,60.8,61.3,62.1,86.2,100,100,100,100,100,100,78.7,78.7,78.7
584,"MHL","Marshall Islands",31.8,31.8,31.8,31.8,31.8,31.8,31.8,30.5,29.2,26.3,25.3,24,24.2,24.3,27.7,28.3,28.9,29.8,32.8,32.9,35.8,37.8,39,40.2,41.3,42,40.7,41.7,41.7,41.7
478,"MRT","Mauritania",70.8,70.8,70.8,70.8,70.8,72.3,73.4,72.5,72.1,70.1,67,61.7,53.9,49.1,44.3,42.6,41.5,39.3,46.9,48.5,47.4,54.9,49.8,45.8,42.2,38.8,35.2,32.5,32.5,32.5
480,"MUS","Mauritius",17.7,17.7,17.7,17.7,17.7,13.6,10.3,6.7,3.5,8.2,10.4,11.1,15.1,19.5,24,25.4,27.1,30.4,32.8,35.8,38.4,37.8,36.4,36.2,37.5,43.9,47.6,49.2,49.2,49.2
484,"MEX","Mexico",32.6,32.6,32.6,32.6,32.6,32.2,30.3,29.5,27.5,25.6,26,26.8,27.7,28.5,31.4,35.2,36.7,37.9,38.5,40.6,41.5,41.6,42.9,43.8,46.4,54.4,54.2,46.1,46.1,46.1
583,"FSM","Micronesia",59.4,59.4,59.4,59.4,59.4,59.4,59.4,75.6,91.5,100,100,100,100,100,100,100,99.5,94.9,82.2,71.3,67.6,67.1,61.4,65.2,56.4,64.9,68.3,71.6,71.6,71.6
498,"MDA","Moldova",100,100,100,100,100,100,100,100,100,100,100,77.5,61.7,41.9,39.6,47.1,53.5,60.3,63.6,68.2,68.8,65.8,61.8,55,54.3,54.1,51.1,51.9,51.9,51.9
492,"MCO","Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,"MNG","Mongolia",58.2,58.2,58.2,58.2,58.2,69,53.8,33.1,25.6,22.6,20.1,15.2,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0.9,12.4,10.1,10.1,10.1
499,"MNE","Montenegro",26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,21.7,7.8,27.8,28.1,28.4,31.8,35.2,37,43.2,48,52.9,41.1,46.9,41.5,37.9,37.5,37.5,37.5
504,"MAR","Morocco",41.6,41.6,41.6,41.6,41.6,44.2,43.4,43.8,44.8,40.6,36.7,33.9,32.1,31.2,33.4,35.3,36.2,38.4,45.3,48.9,51.5,54.8,55.8,55.6,53.9,53.9,50.5,50.1,50.1,50.1
508,"MOZ","Mozambique",100,100,100,100,100,100,100,100,100,100,99.3,99.9,96.1,100,100,100,100,100,90.7,46.7,30.5,11.9,12.9,26.6,45.5,76.3,100,100,100,100
104,"MMR","Myanmar",40.9,40.9,40.9,40.9,40.9,38,51.6,61.8,70.2,66.8,68,67.4,70.7,86.7,97,91,88.7,99.1,100,92.3,72,53.5,34.4,19.7,15.8,8.6,1.9,19.2,19.2,19.2
516,"NAM","Namibia",39.7,39.7,39.7,39.7,39.7,39.7,45.9,58.1,63,63,57.4,51.5,48.2,38.7,36,38.5,35.9,34.4,46.5,45,39.4,35.7,36.8,35.4,37.2,45.4,56.2,58.5,58.5,58.5
520,"NRU","Nauru",68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,47.5,30.1,27.1,22.8,20.3,23,26.7,33.6,39.4,39.4,39.4
524,"NPL","Nepal",0,0,0,0,0,20.6,34.9,60.5,82.4,100,100,100,100,100,100,85.6,59.1,47.2,32.3,21,17.1,15.3,16,9.5,10.8,11.2,16.7,31.4,31.4,31.4
528,"NLD","Netherlands",29.5,29.5,29.5,29.5,29.5,31.7,31.6,31.8,31.7,31.4,31.9,31.5,32.2,32.1,34.4,34.1,36,38.9,39.8,41.2,40.9,41.4,42.1,43.1,45.8,48.2,51.1,59.1,59.1,59.1
540,"NCL","New Caledonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,"NZL","New Zealand",22.8,22.8,22.8,22.8,22.8,23.1,22.1,20,18.4,18.8,19.4,20.4,21.4,24.3,29.2,33.7,36.9,39.1,39.9,40.9,38.1,37.9,35.9,33.4,32.5,34.1,36.3,39.2,39.2,39.2
558,"NIC","Nicaragua",49.9,49.9,49.9,49.9,49.9,48.6,52.3,52.5,56,60.1,65.7,72.3,77.1,82.7,87,91.2,91.4,94.9,95,93.8,89.2,85.1,81,82.7,84.9,92.2,91.3,92.9,92.9,92.9
562,"NER","Niger",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,79.4,53.7,49.7,62.6,82.6,100,100,100,100,100,100,100
566,"NGA","Nigeria",25.8,25.8,25.8,25.8,25.8,38,53.5,76.7,100,100,100,100,100,100,100,100,100,100,91.9,84.2,80.6,81,90.5,100,100,100,100,100,100,100
570,"NIU","Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,"PRK","North Korea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
807,"MKD","North Macedonia",46.5,46.5,46.5,46.5,46.5,36.9,40.6,43.5,47.1,52,56.7,50.3,48.8,42.8,42.7,43.9,43.1,46.5,51.9,63.4,75,84.6,80.8,79.7,69.6,65.9,51,42.7,42.7,42.7
578,"NOR","Norway",15.9,15.9,15.9,15.9,15.9,16,18.2,21.7,24.1,25.6,28.3,28.5,27.9,28.3,29.5,29.5,29.4,30.7,30.9,30.7,30.9,31.6,31.3,31.4,35.2,37.3,40.3,44.4,44.4,44.4
512,"OMN","Oman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,13.8,19.7,21.1,20.1,20.1,20.1
586,"PAK","Pakistan",62.7,62.7,62.7,62.7,62.7,63.3,67.6,69.9,71.1,67.7,67.1,62.4,58.3,57.7,59.6,63.9,70.8,77.7,86.2,90.8,92.7,86.8,75.5,69.9,66.2,66.7,65,71.1,71.1,71.1
585,"PLW","Palau",24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,24.4,25.4,25.4,25.3,25.4,25.6,27.1,27,22.1,23.5,25.5,28.2,27.4,27.4,27.4,27.4
591,"PAN","Panama",6.2,6.2,6.2,6.2,6.2,13.9,13.2,13,17.7,24.3,31.9,33.3,38,35.8,32.3,28.7,16.8,16.4,15.5,20.8,22.6,25.7,29.8,38.9,37,44.9,45.2,47.2,47.2,47.2
598,"PNG","Papua New Guinea",75.9,75.9,75.9,75.9,75.9,71.1,63.5,55.4,47.7,39.6,39.6,44.2,35.9,27.9,44.2,64.3,77,90.8,99.4,95.1,91.2,86.7,74.1,64.7,59.6,64.6,67,76,76,76
600,"PRY","Paraguay",14,14,14,14,14,31,52,66,75.7,80,81.4,84.2,82.3,76.2,66.2,61.7,57.4,54.3,51.6,48.6,47.6,42.2,36.6,32,31.8,35.9,32.4,35.5,35.5,35.5
604,"PER","Peru",41.5,41.5,41.5,41.5,41.5,41.7,50.4,60.2,66.6,67.7,65.8,68.8,60.5,52.2,39,26.7,23.8,22.2,29.4,29.4,31.2,37.8,39,42.2,42.4,50.7,53.1,51.7,51.7,51.7
608,"PHL","Philippines",35.6,35.6,35.6,35.6,35.6,39.4,46.9,53.5,62.7,68.6,72,79.8,79.6,77.3,76.5,70.7,67,62.8,57.3,50.7,42.5,39.7,35,29.9,29.9,35.1,41,46.8,46.8,46.8
616,"POL","Poland",38,38,38,38,38,42.7,46.2,51.5,51.4,49.1,44.7,34.9,28.8,26.7,26.7,26.1,26.3,28.5,30.1,33.4,37.2,34.8,30.5,28.8,30.5,31.9,29.4,28.8,28.8,28.8
620,"PRT","Portugal",23.4,23.4,23.4,23.4,23.4,22.2,22.4,19.6,23,26.2,27.1,34.3,42.2,50.8,56.6,66.2,73.5,66.6,62.2,54.4,47.5,45.9,45.3,45.1,45.1,49.1,56.2,63.5,63.5,63.5
634,"QAT","Qatar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,6.8,6.9,5.8,5.8,5.8
178,"COG","Republic of Congo",0,0,0,0,0,0,0,37.3,90.6,100,100,87,73.6,69.8,60.5,44.5,35.2,49.1,53,61,61.7,59.3,64.8,66.8,61.2,53.3,52.9,55,55,55
642,"ROU","Romania",65.7,65.7,65.7,65.7,65.7,71.7,74.1,68.2,64.5,59.4,54.5,46,37.6,33.6,43,49.7,53.9,58.2,65.4,73,79.5,82.1,72.6,61.5,61.8,63.9,56.4,51.4,51.4,51.4
643,"RUS","Russia",26.9,26.9,26.9,26.9,26.9,31.1,31.1,31.1,29,26.8,24.4,20.9,19.8,19.3,20.8,21.3,20.6,20.6,21.7,23,24.4,24.7,24.6,23.2,24.6,25.8,24.6,24.2,24.2,24.2
646,"RWA","Rwanda",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
652,"BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,"KNA","Saint Kitts and Nevis",11.4,11.4,11.4,11.4,11.4,7.8,7.1,4.8,5.6,5.5,9.7,15.3,18.4,22.5,25.4,28.4,30.8,32.1,33.6,32.1,33.5,34.8,34.2,33.8,32.1,34.8,37.2,40.6,40.6,40.6
662,"LCA","Saint Lucia",8.7,8.7,8.7,8.7,8.7,13.1,19.1,25.3,29.5,30.5,34,35.4,37.6,38.6,40.3,37.5,36,36.7,38,38.7,42.7,46.2,48.3,50.3,54.1,54.7,56.2,56.8,56.8,56.8
670,"VCT","Saint Vincent and the Grenadines",2.7,2.7,2.7,2.7,2.7,10.4,13.3,21.1,24.2,21.3,20.8,24,28.3,30.6,25.7,39.1,47.2,52.6,58.9,56.4,57.7,59.2,61.6,62,56.6,56.2,58.7,58.7,58.7,58.7
882,"WSM","Samoa",48,48,48,48,48,49.1,47.5,46.6,49.1,57.4,61,62.7,65.6,69.4,74.9,76.5,75.2,74.2,74.2,72.3,66.3,60,53.3,55.9,54.6,58.1,60.4,66.7,66.7,66.7
674,"SMR","San Marino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
678,"STP","Sao Tome and Principe",62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,62.2,71.5,75.5,79.2,75.5,72.2,65,66.8,73.6,79.5,84.9,93,100,100,100
682,"SAU","Saudi Arabia",37.7,37.7,37.7,37.7,37.7,47.3,39.7,24.7,11.7,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,1,6.8,13.9,17,17,17
686,"SEN","Senegal",100,100,100,100,100,100,98.6,92.6,82.8,69.2,61.9,65.5,74.2,85.5,91.6,85.9,75.4,71,63.1,51.8,36.9,39.2,41.3,50.2,57,65,67.7,76.8,76.8,76.8
688,"SRB","Serbia",14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,20.3,16.4,12.4,12.1,29.9,41.9,51.4,61.7,66.1,71.3,73.5,59.3,44.5,38.4,36.5,34.4,30.7,30.8,30.8,30.8
690,"SYC","Seychelles",0,0,0,0,0,0,0,0,0,0,7.2,12.8,14.2,15.5,15.4,16.4,19,20.9,25.9,25.9,23.7,19.7,15.2,10.7,6.9,4.1,4.2,6.3,6.3,6.3
694,"SLE","Sierra Leone",100,100,100,100,100,100,100,100,100,78.2,78.5,68.3,84.5,100,100,100,100,100,100,96.2,94.9,82.5,90.6,100,100,100,100,100,100,100
702,"SGP","Singapore",21.9,21.9,21.9,21.9,21.9,25.6,29,32.9,31.6,26.2,39.9,48.5,60.1,55.8,48.8,44,49,32.6,19.5,10.7,1.7,7.8,25.2,22.5,34.1,29.3,35.9,31,31,31
534,"SXM","Sint Maarten",7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,6.6,20.9,23.9,24.3,24.3,24.3
703,"SVK","Slovakia",47.3,47.3,47.3,47.3,47.3,47.3,47.3,43.3,40.5,40.2,38.5,37.2,37.4,36.7,40.5,46.8,48.1,54.1,58.2,61.9,60.9,56.6,50.1,41.9,42.4,43.7,38.3,37.3,37.3,37.3
705,"SVN","Slovenia",32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.3,30.8,28.3,25.6,29.2,33.4,35.4,37.1,40.4,43.9,46.1,46.3,50.2,49.1,48.3,49.6,48.3,47.1,47.1,47.1
90,"SLB","Solomon Islands",94.8,94.8,94.8,94.8,94.8,98,99.4,100,100,100,99,98.5,98.1,97.7,99.1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
706,"SOM","Somalia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
710,"ZAF","South Africa",18.7,18.7,18.7,18.7,18.7,19.5,20.7,27,28.3,25.8,25.1,23,18.8,14.8,13.8,15.4,18.9,26,30,30,35.3,39.3,43.3,42.3,37.1,37.7,38.5,42.3,42.3,42.3
410,"KOR","South Korea",0,0,0,0,0,0.2,4.6,8,10.4,12.2,13,11.9,8.9,12.2,14.5,13.1,11.1,9.3,8.3,8.8,10.3,12.7,14.7,16.7,20.9,25,26.5,29.2,29.2,29.2
728,"SSD","South Sudan",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
724,"ESP","Spain",25.3,25.3,25.3,25.3,25.3,23.3,21.6,18.5,18.4,17.1,14.8,17.6,20.3,26.9,35.7,43.9,52.9,59,59.4,54.2,46,46.9,45.6,43.5,44.1,47.9,48.7,46.3,46.3,46.3
144,"LKA","Sri Lanka",33.3,33.3,33.3,33.3,33.3,31.2,33.7,31.2,37.7,42.5,52.2,59.7,66.8,77.5,84.1,85.2,82.3,77.3,79.2,70.7,61.3,50.4,44.6,51.3,56.4,67,76.1,91,91,91
275,"PSE","State of Palestine",74.4,74.4,74.4,74.4,74.4,74.4,74.4,74.4,74.4,58.4,41.5,38.5,51.9,52.1,58.4,59.6,69.5,92.8,100,100,84.1,71.6,60.5,63.6,65,71.3,75.7,84.3,84.3,84.3
729,"SDN","Sudan",100,100,100,100,100,96.8,77.3,55.8,56.5,38.8,31.2,27.8,15.6,20.1,30.1,44.8,63.8,76.7,85.3,86.1,84.8,88.1,87.1,85.1,85,90.3,96.6,100,100,100
740,"SUR","Suriname",28.3,28.3,28.3,28.3,28.3,31.9,28.9,38.4,49.4,62.6,72.3,72.4,66.4,53.6,40.8,24.8,1,0,0,0,0,0.6,15,32.3,39.4,41.8,32.8,29.2,29.2,29.2
752,"SWE","Sweden",46.1,46.1,46.1,46.1,46.1,49.4,52.9,55.7,57.4,55.9,57.6,54,54.7,55.8,63.2,63.1,65.5,68.1,69.4,70.9,72.5,72.4,72,71.8,76.2,75.4,72.4,70.4,70.4,70.4
756,"CHE","Switzerland",46.2,46.2,46.2,46.2,46.2,46.6,44,42.7,42.3,42.4,41.9,41.5,43.7,43.5,44.4,44.8,47.8,52.2,53.4,58.1,60.7,60.9,64.9,66.7,67.9,68,69.1,66.3,66.3,66.3
760,"SYR","Syria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,"TWN","Taiwan",0,0,0,0,0,0,0,0,0,0.4,2,3.9,5.6,9.5,15.4,17.5,19.6,22.1,23.8,24.5,24.6,23.3,21,20.7,23.7,25,23.6,24.4,24.4,24.4
762,"TJK","Tajikistan",100,100,100,100,100,100,100,100,100,100,100,85.1,75.5,66.4,65.1,68,74.1,80.9,87.3,67.8,49.8,31.2,1,0,0,0,0,0,0,0
834,"TZA","Tanzania",100,100,100,100,100,100,100,100,100,100,91.6,74.9,61.8,62.5,74.2,83.5,89.5,89.7,91.8,98.6,97.2,94.5,94.7,97.5,100,100,100,100,100,100
764,"THA","Thailand",0,0,0,0,0,5.7,16.7,25.4,31,32.3,30.9,26.8,21.1,22.3,23.5,25.3,28.1,28.2,29.5,28.7,28,28.1,28.8,30.6,34.3,38.6,43.6,46.1,46.1,46.1
626,"TLS","Timor-Leste",72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,78,100,90.1,83,46.1,38.2,33.2,37.9,57.1,73,99.2,100,100,100,100
768,"TGO","Togo",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,92.3,96.2,100,100,100,100,100,100,100,100,100,100,100,100,100
776,"TON","Tonga",53,53,53,53,53,52,53.1,59.1,54.7,51.5,46.8,48.9,48.2,51.8,44.4,49.6,65.1,75.9,76.2,81.1,80.9,70,65,58.8,42.8,28.9,23.3,23.3,23.3,23.3
780,"TTO","Trinidad and Tobago",8.4,8.4,8.4,8.4,8.4,1.6,0,0,0,0,0,0,0,0,0,0,0,0,4.8,11.9,16.8,22.2,25.1,27,29.3,27.3,22.6,22.8,22.8,22.8
788,"TUN","Tunisia",37,37,37,37,37,39,35,34.4,31.9,30.9,31.3,32.7,32.7,32.8,33.9,31.7,32.7,32.6,34.2,34.6,34.4,36.9,38,39.4,43.5,46.8,45.5,43,43,43
792,"TUR","Turkiye",14.7,14.7,14.7,14.7,14.7,14,17.1,19.8,20.7,23.7,23.8,20.7,14.2,10.9,10.6,9.3,10.7,12.8,16.5,20.1,21.6,21.5,17.9,17.7,20.5,24.2,23.8,25,25,25
795,"TKM","Turkmenistan",18.1,18.1,18.1,18.1,18.1,13.8,14.4,19.3,20.5,10.8,3.7,1.1,2.2,0,0,0,0,0.6,5.1,6.1,9.2,12.9,18.5,19.4,24.5,25.7,25.7,25.7,25.7,25.7
796,"TCA","Turks and Caicos Islands",12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,15.2,19,19,19
798,"TUV","Tuvalu",9.8,9.8,9.8,9.8,9.8,0.8,0,0,0,0,7.9,40.9,82.3,78.7,75.1,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,91.3,89.6,88.8,88.8,88.8
800,"UGA","Uganda",100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.9,88.9,84.6,92.7,100,100,100,100,100,100,100,100,100,100,100,100
804,"UKR","Ukraine",46.1,46.1,46.1,46.1,46.1,52.4,56.1,63.7,63.1,61.5,54.1,46.5,40.3,36.5,41.9,46.3,46.7,48.4,50,50.8,50,47.4,48.1,48.4,53.3,57.1,61.5,65.9,65.9,65.9
784,"ARE","United Arab Emirates",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,7.5,12.2,15.7,15.5,14,14,14
826,"GBR","United Kingdom",49.3,49.3,49.3,49.3,49.3,47.3,43,42.2,41,40.4,40.6,39.7,40.6,42.4,49.7,53.3,57.8,62.2,63.1,66.5,70.2,73.6,77.5,78.7,83.1,81.2,78.9,77.3,77.3,77.3
840,"USA","United States of America",14.7,14.7,14.7,14.7,14.7,13.7,14.7,15.6,16.5,17.1,18.1,19,19.6,21.4,24.7,26.5,30.2,35.2,37.4,35.7,34.5,34.5,32.3,28.3,29.3,32.3,32,33.3,33.3,33.3
858,"URY","Uruguay",31.1,31.1,31.1,31.1,31.1,38.4,43.7,47.8,57.5,61.2,61.8,59.4,56,40.7,21.4,23,20.9,22.5,34.7,45.7,56.5,63.7,86.8,81.6,76.7,89.6,71.1,53.8,53.8,53.8
860,"UZB","Uzbekistan",39.7,39.7,39.7,39.7,39.7,38.6,38.8,35.4,32.3,32.5,38.1,42.4,47.8,48.6,56.4,67.8,70.5,65.3,63.5,63.7,68.5,63.6,59.2,55.6,56.2,57.9,50.3,43.6,43.6,43.6
548,"VUT","Vanuatu",81,81,81,81,81,78.8,77.6,83.2,91,100,100,100,100,100,100,78.5,51.2,38.2,31.3,30.9,47.2,77.9,82.7,83.1,80.8,72.7,61.5,62.8,62.8,62.8
862,"VEN","Venezuela",35.1,35.1,35.1,35.1,35.1,32.2,36.3,37,36.3,41.7,45.3,50.8,54.8,48.2,49.2,43,46.9,41.5,35,38.1,43.3,50.1,57.1,61.2,61.3,55.9,56,55.1,55.1,55.1
704,"VNM","Viet Nam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,6.3,3.8,0,0,0,0,0,0,0,0,0,0
876,"WLF","Wallis and Futuna Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,"YEM","Yemen",98.9,98.9,98.9,98.9,98.9,88.6,81.9,78.5,83,83.9,82.1,81.6,85,90.5,90.7,95.1,100,100,100,100,100,100,100,100,100,100,100,100,100,100
894,"ZMB","Zambia",100,100,100,100,100,100,100,100,100,100,100,100,100,97.1,90.1,85.2,79.4,67.6,57.5,49.6,45.1,42.4,41,41.1,42.1,47.6,55.6,60,60,60
716,"ZWE","Zimbabwe",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,89.8,86.8,92.3,100,100,100,100,100,100,100
