"code","iso","country","OEC.ind.1995","OEC.ind.1996","OEC.ind.1997","OEC.ind.1998","OEC.ind.1999","OEC.ind.2000","OEC.ind.2001","OEC.ind.2002","OEC.ind.2003","OEC.ind.2004","OEC.ind.2005","OEC.ind.2006","OEC.ind.2007","OEC.ind.2008","OEC.ind.2009","OEC.ind.2010","OEC.ind.2011","OEC.ind.2012","OEC.ind.2013","OEC.ind.2014","OEC.ind.2015","OEC.ind.2016","OEC.ind.2017","OEC.ind.2018","OEC.ind.2019","OEC.ind.2020","OEC.ind.2021","OEC.ind.2022","OEC.ind.2023","OEC.ind.2024"
4,"AFG","Afghanistan",38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,37.4,36.5,34.9,40.9,41.7,42.2,38,36.5,37.2,39.9,45.2,41.6,43.5,38.1,32.1,33,36.2,33.4,37.6,37.6,37.6
8,"ALB","Albania",21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,28.8,17.8,24.4,21.9,20.8,25.1,21.6,29.3,23.9,23.3,29,30.3,27.2,12.8,16.7,9.5,13.6,15.6,21.8,21.8,21.8
12,"DZA","Algeria",15,15,15,15,15,15,15,15,15,24.8,15,18,19.5,20.7,14.2,12.7,20,18.7,12,21.8,21.8,21.7,0,2.3,0,0,2.1,7.8,7.8,7.8
20,"AND","Andorra",50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,50.6,57.2,44.5,44.6,49.6,51.9,47.5,49,49,46.5,49.6,52.8,50.8,51.5,48.8,49.9,41.9,52.1,54.5,53.9,53.9,53.9
24,"AGO","Angola",92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,91.1,86.5,90,83.7,85.9,86.7,86.7,81.8,86.1,87.5,91.1,90.5,93.4,90.7,92.4,85,89.8,82.5,84.4,84.4,84.4
660,"AIA","Anguilla",44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,43.3,45.5,45.9,46.3,46.7,47.1,47.6,48,48.4,48.8,49.2,49.6,53.2,43.4,30.8,35.6,37.4,37.1,37.8,37.8,37.8
28,"ATG","Antigua and Barbuda",45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,47.5,47.8,46.4,50.1,41.7,47.2,53.7,49.1,49.5,44.4,50.6,50.4,55,45.4,32.2,37.3,39.4,38.9,39.6,39.6,39.6
32,"ARG","Argentina",100,100,100,100,100,100,100,100,100,100,90.3,94,97.8,87.8,91.6,94,95.3,96.9,94.4,96.6,99.3,94.4,90.2,91,89,78.8,91.6,92.5,92.5,92.5
51,"ARM","Armenia",45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,44.7,41.2,40.8,43.4,44.4,45.4,43.6,46.7,44.8,45.3,50.6,47.4,50.5,43.9,38.4,37.4,38.1,36.8,40.6,40.6,40.6
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,90.9,96.7,86.8,88.9,85.9,87.1,88.2,90.1,90.2,86,86.2,84.9,88.1,87.7,85.2,82.7,74.8,77.2,81.6,82.1,82.1,82.1
40,"AUT","Austria",66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,74,64.9,66.7,61.8,62.2,66.8,69.9,66.7,60.6,65.5,68.8,62.1,67.3,54.4,53.7,48.9,57.1,61,61,61,61
31,"AZE","Azerbaijan",58.7,58.7,58.7,58.7,58.7,58.7,58.7,58.7,58.7,60.4,55.2,57,56.7,58.4,60.5,60.6,60.9,56,56.4,59.8,59.3,62.6,49.7,49.8,45.8,47.6,48.9,49.8,49.8,49.8
44,"BHS","Bahamas",13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,3.7,0,0,3.7,7.8,11.5,0,9.6,8,13.6,15,25.5,14.6,4.5,1.9,0,2.2,3.1,8.4,8.4,8.4
48,"BHR","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"BGD","Bangladesh",43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,45,35.1,34.1,43.8,44.3,35.6,41.9,38,29.4,41.5,28.4,37.3,39.8,38.5,28.8,28.2,32,27.2,35.4,35.4,35.4
52,"BRB","Barbados",53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,53.2,58.7,62.1,58.4,57.5,51.9,56.9,67.7,61.1,62.4,54.7,57.1,56.9,64.1,54.2,42.2,48,49.1,48.1,48.8,48.8,48.8
112,"BLR","Belarus",68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,74,69.6,65.2,61.1,58,70.1,67.6,65.4,67.3,65,67.3,57.8,65.7,58.8,60.5,52.6,57.4,66.3,68.2,68.2,68.2
56,"BEL","Belgium",98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.8,91.6,87.5,90.7,87.7,89.2,91.9,89.7,86.7,80.8,81.4,78.5,85.6,74.7,67.6,61.9,58.5,71.8,70.2,70.2,70.2
84,"BLZ","Belize",66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,62.1,61.2,65.7,68,65.6,65.5,65.9,66.5,70.2,71,69.2,68.5,71.5,69.2,61.9,62.3,64.3,69.8,69.6,69.6,69.6
204,"BEN","Benin",77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,77.3,74.9,73,69.7,67.6,67.5,71.9,75,68.3,74.4,71.7,74.3,74.5,79.7,73.3,71,66.7,62.4,61.9,68.9,68.9,68.9
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",46.6,46.6,46.6,46.6,46.6,46.6,46.6,46.6,46.6,46.4,36.1,36.9,42.3,40.8,33.7,39.7,42.3,30.6,46.4,36.1,36.8,40.1,36.9,24.4,26.1,25.5,25,25.4,25.4,25.4
68,"BOL","Bolivia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
70,"BIH","Bosnia and Herzegovina",55.9,55.9,55.9,55.9,55.9,55.9,55.9,55.9,55.9,65.6,58.3,57.6,55.3,52.9,56.3,58.1,59.7,54.6,57.2,62.8,59.7,61,48.7,50.6,46.2,48.1,52.7,54.7,54.7,54.7
72,"BWA","Botswana",75.4,75.4,75.4,75.4,75.4,75.4,75.4,75.4,75.4,79.6,72.5,82.4,72.2,71.2,80.1,71.2,71.8,66.5,71.3,75.5,68,73.7,72.2,66.5,65,68.9,69,65.6,65.6,65.6
76,"BRA","Brazil",100,100,100,100,100,100,100,100,100,100,96.7,100,93.3,96.6,100,93.1,98.4,95.6,100,99.9,100,100,97.9,100,95.2,89.6,100,99.5,99.5,99.5
92,"VGB","British Virgin Islands",30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,34.1,35.3,36.1,36.7,36.7,36.7
96,"BRN","Brunei Darussalam",84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,84.7,78.8,78.1,79.7,76,74,77.6,82.3,71.1,62.5,78.6,83.5,83.1,83.1,83.1
100,"BGR","Bulgaria",62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,66.4,59.5,62.1,55.5,57.1,62.6,62.3,64.2,59.1,58,67.4,61.5,63,54.9,54.5,50.7,52,57.3,59,59,59
854,"BFA","Burkina Faso",91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,92,89.8,86.5,83.8,82.6,87.3,91,85.4,90,90.1,89.9,90.2,95.8,93.5,91.1,87,84.5,85.2,90.8,90.8,90.8
108,"BDI","Burundi",81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,81.8,86.4,83.8,90.9,84.2,86,84.7,82.5,83.8,81.8,84.5,93,88.9,80,90.2,91.7,85.8,83,82.7,82.7,82.7,82.7
132,"CPV","Cabo Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"KHM","Cambodia",74.7,74.7,74.7,74.7,74.7,74.7,74.7,74.7,74.7,73.7,70.3,76.2,74.2,72.1,79.2,73.9,67.2,79,73.2,74.8,71.9,70.5,75.8,66.7,60.1,60.7,64.5,72.9,72.9,72.9
120,"CMR","Cameroon",92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,96.5,84.6,88.9,82.5,79.1,86.7,83.8,83.6,86.5,88.5,88.4,88.9,91,87.5,85.5,83.6,73.8,80.8,85.6,85.6,85.6
124,"CAN","Canada",53.1,53.1,53.1,53.1,53.1,53.1,53.1,53.1,53.1,61.4,49.3,48.6,47.2,49.7,52.1,53.9,47.7,48.8,43,45.2,40.6,45.3,39.7,43.1,41.1,41.6,44.1,48.6,48.6,48.6
136,"CYM","Cayman Islands",11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.5,14.9,14.1,13.3,12.5,11.7,10.9,17.6,17.9,21.7,19.5,20.1,18.9,15.9,12.1,10.9,13.7,12.3,15.2,15.2,15.2
140,"CAF","Central African Republic",100,100,100,100,100,100,100,100,100,100,98.8,100,92.2,89.7,100,100,98.5,98.8,100,100,100,97.2,98,100,100,98.4,100,100,100,100
148,"TCD","Chad",96.8,96.8,96.8,96.8,96.8,96.8,96.8,96.8,96.8,100,90.1,97,87.5,83.5,93.2,89.6,87.6,89.3,99,97.2,98,94,91,96.3,93.5,86.9,87.7,93.4,93.4,93.4
152,"CHL","Chile",98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,100,92.4,96.1,97.7,93,95.3,92.8,94.6,93.4,93.3,93.1,94.3,95.9,86.9,88.7,83.1,79.9,83.9,86.6,86.6,86.6
156,"CHN","China",38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,38.2,44.8,39.6,40,43.9,42.9,45.6,49.4,50.8,52.5,45.2,53.2,51.3,53.9,44.6,41.6,40.7,47.5,50.1,47.2,47.2,47.2
170,"COL","Colombia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
174,"COM","Comoros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,69.7,71.3,74.3,76.4,72.8,73.7,77.7,77.2,74.9,75.5,78,75.4,77.4,76.8,70,70.1,75.3,76,78.7,78.7,78.7
384,"CIV","Cote d'Ivoire",88.9,88.9,88.9,88.9,88.9,88.9,88.9,88.9,88.9,90,86.6,83.9,79.6,79.1,82.4,89.5,85.1,88.4,87.5,89.9,90.7,93,93.8,89.4,85.2,82.5,84.4,87.8,87.8,87.8
191,"HRV","Croatia",58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,67.9,59.9,59.2,58,54.6,56.9,60.3,60.7,54.6,59.4,63.6,60.6,62.3,48.1,50.9,46.1,48.9,54.7,56.4,56.4,56.4
192,"CUB","Cuba",33,33,33,33,33,33,33,33,33,27,29.1,27.3,33.1,31.6,33.7,28.7,32.8,33.8,38,37,40.2,35.6,30.7,28.5,27.5,28.1,30.4,32.5,32.5,32.5
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,"CZE","Czech Republic",72.7,72.7,72.7,72.7,72.7,72.7,72.7,72.7,72.7,77.7,71.5,71.1,65.5,66.8,72.5,75.2,70.8,65.4,70.3,71.9,63.6,72.2,60.2,55.1,52.8,59.7,67.7,66.8,66.8,66.8
180,"COD","Dem. Rep. Congo",100,100,100,100,100,100,100,100,100,100,99.5,100,97.3,99.6,98.7,100,100,100,100,100,100,93.9,100,100,100,100,100,100,100,100
208,"DNK","Denmark",68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,65,56.8,56.1,53.8,52.1,58.9,57.8,57.1,53.2,42.7,56.3,47.5,59.3,37.6,38,34,32.9,42.6,44.1,44.1,44.1
262,"DJI","Djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,"DMA","Dominica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,"DOM","Dominican Republic",56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,56.5,52.6,56.5,57.5,62.4,53,56.6,55.1,55.7,56.8,56.3,60.1,57.9,60.8,55.8,48.2,49.2,47.5,50.2,53.1,53.1,53.1
218,"ECU","Ecuador",92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,92.4,94,92.3,97.9,92.5,99.2,95.1,95.9,92.9,96.5,92.5,87.9,88,81.4,84.4,82.3,84.9,82.6,90.6,87.9,87.9,87.9
818,"EGY","Egypt",6,6,6,6,6,6,6,6,6,15,8.9,12.1,11,9.6,17,11.2,15.1,13.5,14.8,24.2,20.4,20.4,0,0,0,0,0,0,0,0
222,"SLV","El Salvador",55.9,55.9,55.9,55.9,55.9,55.9,55.9,55.9,55.9,57.6,52,52,54.1,56.7,56.7,60.1,58,55.3,57.7,56,59.3,54,53.6,48.9,47.7,47.9,51.2,55.6,55.6,55.6
226,"GNQ","Equatorial Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,"ERI","Eritrea",46,46,46,46,46,46,46,46,46,52.4,51.3,54.2,52.9,50.2,47.1,52.9,48.3,49.4,57.7,59.1,51.3,57.8,40.4,42.7,39.9,27.9,28.4,30.6,30.6,30.6
233,"EST","Estonia",61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,62.3,56.1,51.2,52.4,47.7,60.6,60.1,51,55,44.5,53.7,45.8,54.2,43.7,43.4,38.2,36.2,50,52.5,52.5,52.5
748,"SWZ","Eswatini",89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,89.4,93.4,84.1,92.8,82.8,85.3,85.4,81.3,83.2,80.5,82.3,83.5,81.3,82.3,80.8,80.7,77.9,81.9,79.1,82,82,82
231,"ETH","Ethiopia",76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,76.1,78,77.9,81.1,78,74.8,74,80.2,74.3,72.1,84.5,87,82.3,86.2,84.9,83.7,83,76.1,73.3,74.7,74.7,74.7
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.6,90.9,91.7,91.9,99.4,95.5,86.5,99.9,98,92.7,92.8,81,82.9,91.8,79.9,78.2,73.5,78.6,81.8,87.8,87.8,87.8
246,"FIN","Finland",71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,71.4,76.8,65.5,64.2,64.8,64.7,71.1,70.5,62.7,66.9,49.6,61.5,57.7,66.9,57.7,59.1,53.3,45.9,61.7,62.3,62.3,62.3
250,"FRA","France",61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,61.7,68.4,60,59.6,63.8,62.1,61.2,63,61.9,61,55.9,57.4,58.2,64.8,53,47.8,41.1,43.8,54,53.1,53.1,53.1
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
270,"GMB","Gambia",68.7,68.7,68.7,68.7,68.7,68.7,68.7,68.7,68.7,70.4,69.6,65.4,65.1,69.3,67.4,69.7,64.4,69.4,66.2,64.8,68.2,67.2,65.1,65,59.5,62.8,62.1,65.7,65.7,65.7
268,"GEO","Georgia",60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,55.5,59.5,60.5,60.8,60.7,62.5,64.1,60.9,60,64.5,63.1,63.6,57.4,56,50.6,52.5,54.6,56.9,56.9,56.9
276,"DEU","Germany",77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,77.7,81.1,72.9,69.3,67.6,68,71.6,74.4,72.4,67.4,65.1,69.7,63.2,70,59.7,53.3,49,51.4,62.2,58.9,58.9,58.9
288,"GHA","Ghana",87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.9,87.9,86.7,83.7,81.6,78.8,78.5,83.2,87,80.9,86.9,83.6,86.4,85.2,92.8,87.3,86.1,81.5,77,78.7,84.6,84.6,84.6
300,"GRC","Greece",40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,45.2,33.1,40.7,36.2,35.4,41.2,37.4,43.6,38.2,37.4,44.3,43.1,40.9,33.5,33,27,31.9,31,38.4,38.4,38.4
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,"GRD","Grenada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,"GTM","Guatemala",61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.2,61.1,59.3,58.4,56.9,63.4,60.6,63.4,65.9,59.9,63.9,59.3,59.7,59.2,56.8,51.8,51.5,52.4,56,60.9,60.9,60.9
831,"GGY","Guernsey",60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.2,53,54.2,55.3,47,49.4,52,55,50.1,37.2,53.7,45.2,57.6,26.4,36.6,22.2,25.4,33.8,36.1,36.1,36.1
324,"GIN","Guinea",80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,83.1,80.1,77.8,73.4,74.7,73.8,85.4,79.7,80.8,80.3,82.8,83.1,81.3,85.8,84.4,79.9,77.6,80.5,85.6,85.6,85.6
624,"GNB","Guinea-Bissau",64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,64.9,66.8,65.3,60.2,57.4,61.6,62.8,63.7,60.6,67.4,65,64.6,66.3,62.9,63.8,65.8,61,58.2,61.9,64.3,64.3,64.3
328,"GUY","Guyana",81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,83.3,90.7,83.8,83.1,82.9,78.7,92.2,86.3,91.3,84,81.7,80.6,89.1,88.9,70.1,74.6,82.2,84.4,87.1,87.1,87.1
332,"HTI","Haiti",34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,33.8,36.9,36.6,41.8,34.6,37,36.6,37.4,37.9,38.4,39.4,36.8,39.2,35,27.9,28.4,27.6,29.9,31.6,31.6,31.6
336,"VAT","Holy See",30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,41.5,34.7,34,40.1,30.3,33.2,25.6,36.4,30.1,31.6,34.2,34.7,31.8,5.7,9,2.6,12.1,13.1,14,14,14
340,"HND","Honduras",83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83.5,83,78.8,82,82,81.3,85.3,84,83.9,85,86.5,87.3,88.8,86.7,85,82.6,80.4,79.3,85.9,89.8,89.8,89.8
344,"HKG","Hong Kong",48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,51.4,68,72.4,73.8,82.4,81.2,97.1,86.4,95.4,94.6,100,100,100,77.2,71.6,64.3,75,73,77.6,77.6,77.6
348,"HUN","Hungary",68.7,68.7,68.7,68.7,68.7,68.7,68.7,68.7,68.7,75.1,70.1,69.8,64.1,63,65.8,70.6,69.7,63.5,67.7,72.3,68.2,69.5,55.9,58.5,52.2,57.8,63.7,62.9,62.9,62.9
352,"ISL","Iceland",65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,65.9,59.7,50.9,52.1,48.2,52.4,59.6,55.8,53,50.9,40.5,56.6,43.6,60,48.6,39.9,42.3,40.9,48,54.6,54.6,54.6
356,"IND","India",31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,30.9,29,29.9,31.6,35.2,27.7,29.8,29.8,25.8,29.9,28.7,25.3,26.8,24.2,21.2,19.1,18.5,22.5,22,22,22
360,"IDN","Indonesia",54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,50.5,53,47.1,57.7,59.2,56.7,77,58.1,57.1,67.1,52.9,50.9,73.2,55.7,47.3,38.8,55.9,56.9,62.3,62.3,62.3
364,"IRN","Iran",27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,31.6,29.2,26.1,30.3,27.7,29.6,25.3,28.3,22.5,25.2,33.5,27.8,30.2,11.6,12.1,8.8,6,6.5,5.2,5.2,5.2
368,"IRQ","Iraq",20,20,20,20,20,20,20,20,20,29,22.4,19,25.8,25,27.4,22.5,28.7,24.2,26.6,31.1,29.9,33.6,15.8,14,11.7,9.4,10.5,9.6,9.6,9.6
372,"IRL","Ireland",40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,39.3,30.6,30.9,33.1,28.8,29.6,39.6,31.5,30.8,19.3,27,21.4,33.7,18.9,17.8,13.3,14.8,25,25.3,25.3,25.3
833,"IMN","Isle of Man",62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,57.9,47.9,51.2,51.5,43.3,46.8,57.5,50.5,47.2,37.2,49.1,37.6,53.4,27.5,34.1,23.9,24.4,36.1,34.7,34.7,34.7
376,"ISR","Israel",36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,44.9,40.8,40.3,42.2,44.6,48.2,45.6,46.9,48.7,51.4,60.6,57.5,59.7,32,32.8,29.9,32,33.8,32.4,32.4,32.4
380,"ITA","Italy",46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9,46.9,59.4,49.1,53,53.3,49.8,52.8,51.2,53.7,48.1,51.3,55.3,51.6,50.9,32.4,35.8,31.8,38.1,39.8,41.9,41.9,41.9
388,"JAM","Jamaica",23,23,23,23,23,23,23,23,23,17,23.5,19.5,30.5,22.3,23.8,21.8,22.9,25.2,25.2,28.8,25.4,24.5,26,20.1,20.6,20.2,18.9,22.6,22.6,22.6
392,"JPN","Japan",42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,48,32.3,39,36.9,33.8,32.4,32.3,34.1,34.7,19.8,23.9,24.5,28.1,11.7,11.1,5.8,15.5,18.9,18.6,18.6,18.6
832,"JEY","Jersey",72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,72.4,70.9,64.4,66,65.7,58.5,62.3,62,67.1,61.5,49.4,66.3,58.3,69.7,38.8,48.4,33.7,35.9,43.9,46.7,46.7,46.7
400,"JOR","Jordan",21,21,21,21,21,21,21,21,21,28.3,24.4,22.1,21.4,22.9,25.7,19.7,26.6,23.2,27.4,35.7,30.6,33.1,21.2,22.8,17.2,20.8,20.3,21.1,21.1,21.1
398,"KAZ","Kazakhstan",54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,53.8,51.7,48.2,50.1,47.6,53.4,48.4,55.6,46.9,44.8,53.3,52.1,57,46.2,48.5,43.9,48.4,52.6,54.2,54.2,54.2
404,"KEN","Kenya",86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,86.9,89.1,85.4,90.5,89.2,85.8,79.4,87,81.1,82.4,84.8,88.4,85,85.9,86.8,85.2,82.3,82.5,76.4,74.9,74.9,74.9
296,"KIR","Kiribati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
689,"XKX","Kosovo",41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,41.7,49.6,42.1,44.7,42.3,39,48.7,44.1,47.2,44.6,42.4,55.3,49,48.4,38.8,43.5,36.6,38.4,41.4,44.9,44.9,44.9
414,"KWT","Kuwait",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,"KGZ","Kyrgyzstan",30,30,30,30,30,30,30,30,30,32.8,28,26.3,27,26.8,34.4,32.8,30.8,33.3,31.3,38.7,37.3,39.5,28.2,29.1,20,23,29.9,27.6,27.6,27.6
418,"LAO","Laos",58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,57.9,55.5,57.3,53.4,54.6,62.1,59.1,47.4,61.1,53.3,62.4,62.6,57.8,57.4,56,46.3,47.8,52.9,55.5,55.5,55.5
