"code","iso","country","OEC.ind.1995","OEC.ind.1996","OEC.ind.1997","OEC.ind.1998","OEC.ind.1999","OEC.ind.2000","OEC.ind.2001","OEC.ind.2002","OEC.ind.2003","OEC.ind.2004","OEC.ind.2005","OEC.ind.2006","OEC.ind.2007","OEC.ind.2008","OEC.ind.2009","OEC.ind.2010","OEC.ind.2011","OEC.ind.2012","OEC.ind.2013","OEC.ind.2014","OEC.ind.2015","OEC.ind.2016","OEC.ind.2017","OEC.ind.2018","OEC.ind.2019","OEC.ind.2020","OEC.ind.2021","OEC.ind.2022","OEC.ind.2023","OEC.ind.2024"
428,"LVA","Latvia",58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,59.8,54.9,49.9,49,45.9,57.9,57.6,49,52.6,46.6,54.4,46.8,53,42.1,43.2,36.7,37.5,47.6,52.1,52.1,52.1
422,"LBN","Lebanon",23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,35,28.5,27.6,30.2,31.3,34.8,31.7,34,33.1,33.9,43.7,40.6,40.3,28.4,25.6,22.9,26.9,25.3,27,27,27
426,"LSO","Lesotho",72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,72.8,73.8,67.5,77.7,68,64.6,72,62.2,67.5,62.6,64.2,68,61.3,63.4,63,61.1,57.7,60.4,62.2,61.4,61.4,61.4
430,"LBR","Liberia",87,87,87,87,87,87,87,87,87,93.9,95.1,88.2,83.7,82,80,95.9,90.4,85.1,90.2,90.9,88.3,92,98,93.4,85.6,87.6,90.4,91.6,91.6,91.6
434,"LBY","Libya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,2.3,0,0,0,0,0,0,0,0
438,"LIE","Liechtenstein",66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,71.5,66.5,68.7,67.5,68,67.2,69.4,69.8,66,68.7,68.9,66.2,67,57.9,56.6,53.4,58.3,61.3,59.7,59.7,59.7
440,"LTU","Lithuania",58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,62.7,56.9,52.3,50.8,47.6,60.4,59.4,53,55.7,50.2,57.1,49.7,56.5,46.6,48.6,40.2,43.7,53.3,57.1,57.1,57.1
442,"LUX","Luxembourg",84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,90,84.1,79.4,82.4,80.1,80.4,84,83.3,79.7,77.1,76.2,75.6,82.8,74.3,66.7,60.5,58.9,73,70.2,70.2,70.2
446,"MAC","Macao",17,17,17,17,17,17,17,17,17,18.4,35.6,37,38,48,44.1,44.1,44.1,44.1,44.1,44.1,44.1,44.1,44.1,44.1,44.1,44.1,44.1,44.1,44.1,44.1
450,"MDG","Madagascar",100,100,100,100,100,100,100,100,100,100,94.6,100,97,98.3,100,95,99.1,98.5,97.9,99.7,100,98.6,99.4,94.2,93.4,86.3,89,85,85,85
454,"MWI","Malawi",100,100,100,100,100,100,100,100,100,100,99.6,100,100,99.4,100,100,100,100,100,100,100,100,100,100,100,95.3,96.7,98.2,98.2,98.2
458,"MYS","Malaysia",42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,42.3,41,40.2,48,57.2,54.8,57.5,62.1,49.8,59,60.9,50.4,41,64.4,51.8,43.4,29.8,42.2,47.6,53.8,53.8,53.8
462,"MDV","Maldives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,"MLI","Mali",90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,91.1,88.8,86.7,82.9,81.6,87,92.7,86.9,88.9,89.5,89.5,89.9,93,92.7,90.9,85.8,86.4,87.8,91.2,91.2,91.2
470,"MLT","Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584,"MHL","Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,"MRT","Mauritania",58,58,58,58,58,58,58,58,58,59.3,59.4,55.7,52.6,58.4,58.8,59.4,52.3,57.7,57.5,53.5,58.7,56.4,55.3,50.3,47.4,53.3,51.1,56.1,56.1,56.1
480,"MUS","Mauritius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484,"MEX","Mexico",61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,65.6,55.5,58.1,60.1,58.5,59.6,57.2,52.3,57.4,60.9,65.9,67.1,62.6,54.3,56.1,50.5,48.7,56.6,55.1,55.1,55.1
583,"FSM","Micronesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
498,"MDA","Moldova",51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,57.5,50.4,51.9,42.8,45.8,51.2,49.1,52.7,49,46.6,55.5,46.1,50,41.2,44.5,39.5,40.8,51.9,48.7,48.7,48.7
492,"MCO","Monaco",56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,56.7,62.2,54.8,57.2,59.7,60.3,63.2,61.6,64.3,60.2,62.5,66.2,62.8,61.6,38.4,34,33.5,41.7,44,43.6,43.6,43.6
496,"MNG","Mongolia",36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,36.2,41.8,33.4,30.7,30.3,29.7,33.8,36.7,38,40,29,39.4,33.7,37.9,33.3,33.9,27.7,33,41.9,41.7,41.7,41.7
499,"MNE","Montenegro",22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,30.6,21.5,24.4,23,22.3,27.5,22.5,28.6,26.4,23.2,30.5,32.3,29.1,15,17.4,11.2,12.4,16.3,22.7,22.7,22.7
504,"MAR","Morocco",35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,41.3,33.9,34.6,35.8,36.9,34.1,29.5,36.2,36.7,26.6,36.8,35.2,32.8,22.3,25.3,19.6,25.4,29.4,33.4,33.4,33.4
508,"MOZ","Mozambique",100,100,100,100,100,100,100,100,100,100,94.3,100,98.5,94.4,99.3,96.1,94.9,94.5,97.1,98.4,98.2,100,98.5,98.2,94.6,88,90.4,91,91,91
104,"MMR","Myanmar",76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.9,76.4,70.8,71.6,72,74.2,67.6,75.7,76.2,68.5,76.6,78.2,78.9,80.9,82.2,75.4,68,69.4,72.5,80,80,80
516,"NAM","Namibia",80,80,80,80,80,80,80,80,80,78.6,71.7,81.9,67.3,74.7,78.9,72.6,74.7,72.1,69.2,79.1,71.1,79.9,74.8,77.6,68.6,74.5,68.6,67.5,67.5,67.5
520,"NRU","Nauru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524,"NPL","Nepal",34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,34.1,29.1,23.9,25.7,28.8,32.1,23.5,23.5,27.6,21,31,21,22.1,23.7,23.5,16.4,17.5,20.8,22.1,17.1,17.1,17.1
528,"NLD","Netherlands",96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,96.3,94.4,85.7,80.6,82.6,80.6,84.2,85.4,86.7,80.1,70.1,78.5,71.6,79.4,63.6,58.4,52.2,51,60.5,60.9,60.9,60.9
540,"NCL","New Caledonia",79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,78.2,71.7,73.7,75.6,76.2,75,79.7,76.4,71.7,72.5,69,73.1,81.2,64.5,60,53.1,54.7,60.9,67.6,67.6,67.6
554,"NZL","New Zealand",100,100,100,100,100,100,100,100,100,100,96.4,99.6,98.5,95.6,95.7,94.2,97.3,93.6,92.5,91.6,94.1,95.6,93.8,92.2,84.7,84.5,83,85.2,85.2,85.2
558,"NIC","Nicaragua",68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,66.4,65.6,67.3,67.1,65.2,71.1,70.7,69.4,69.9,71.6,73.4,75.2,74.1,71.5,66.9,67,66.5,70.9,73.7,73.7,73.7
562,"NER","Niger",64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,65,64.8,60.7,62.3,60.4,62.7,65,62,68.7,70,69.3,66.1,70.3,65,61.8,60.9,59.8,62.9,59.7,59.7,59.7
566,"NGA","Nigeria",64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,64.3,62.8,58.5,55.1,56.3,56.7,58.3,58.6,57.5,62.7,61.1,61.5,60.9,65.3,57.4,54.8,53.3,48.8,52.2,55.6,55.6,55.6
570,"NIU","Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,"PRK","North Korea",30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,39.5,24.4,30.8,37.7,30.4,30.3,39.5,42,40.6,30.5,31.5,31.8,36.1,23.1,28.9,23.9,30.3,34.5,33.4,33.4,33.4
807,"MKD","North Macedonia",51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,57.2,48.7,53.2,48.1,45.2,53.5,49.2,52.7,49.8,47.2,58.1,52.2,51.4,44.8,48.5,38.9,45.2,47.2,49.7,49.7,49.7
578,"NOR","Norway",70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,70.6,69.1,58.7,57.4,61.8,57.3,64.2,67.2,60,61.3,48.3,54,51.7,62.8,45.3,41.5,43.7,39,48.3,49.2,49.2,49.2
512,"OMN","Oman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,"PAK","Pakistan",30,30,30,30,30,30,30,30,30,27.5,28.2,23.6,29.7,30.3,28.3,27.7,28.7,28.4,26.1,25.9,20.4,22.4,24.6,16.6,19.6,16.5,15.3,21.1,21.1,21.1
585,"PLW","Palau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
591,"PAN","Panama",71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,71.6,68.5,70.2,71.3,72.6,69.2,70.3,74,70.4,69.6,68.2,67.4,64.9,70.7,65.9,56.7,55.8,62.3,64.5,67.5,67.5,67.5
598,"PNG","Papua New Guinea",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
600,"PRY","Paraguay",100,100,100,100,100,100,100,100,100,100,94.4,100,97.4,97.3,100,94.7,100,98,100,100,100,98.7,91.8,100,92.6,85.4,100,100,100,100
604,"PER","Peru",98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.2,98.3,95.9,100,94.3,96.5,100,94.2,96,100,100,97.4,98.6,96.9,98.4,100,99.7,97.1,100,99.1,99.1,99.1
608,"PHL","Philippines",62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,62.3,67.8,67,70.4,69.7,75.7,65.7,75,70.8,72.3,71.6,65.9,64.1,74.1,64,59.5,54.2,62.5,67.5,72.2,72.2,72.2
616,"POL","Poland",74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,77.9,72.1,71.6,64.7,65.5,72.5,74.2,69.4,69,67.1,70.2,61.2,70.7,59.3,57.3,51.2,57.4,66.3,65.7,65.7,65.7
620,"PRT","Portugal",34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,48.3,33.3,38.3,45.4,41.7,36.4,29.8,42.4,41.5,24.6,37,41.1,34.8,31.7,24.6,24,31.6,34.9,34.4,34.4,34.4
634,"QAT","Qatar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,"COG","Republic of Congo",100,100,100,100,100,100,100,100,100,97.4,95.1,99.4,94.8,91.2,95.6,93.7,94,97.7,88.8,94.6,92.3,85.9,96,100,100,94.4,97,97.2,97.2,97.2
642,"ROU","Romania",68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,72.3,67.1,68.6,58.8,61,66,66.5,68.5,65.2,62.5,71.1,64.8,67.4,55.5,57.2,53.1,54.3,61.3,60,60,60
643,"RUS","Russia",67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,67.8,69.9,63,64.5,60,60,64.7,60.3,66.7,60.5,57.1,63.4,59.9,68.3,57.2,57.8,55.5,55.3,63.2,65.2,65.2,65.2
646,"RWA","Rwanda",78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,83.7,79.7,86.1,81.1,84.5,81.8,82.8,82.4,80,80.1,89.4,84.2,76.3,85.7,84.7,83.6,81.1,76.1,77.2,77.2,77.2
652,"BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,"KNA","Saint Kitts and Nevis",42.9,42.9,42.9,42.9,42.9,42.9,42.9,42.9,42.9,45.2,45.4,43.4,48.3,40.5,45,50.3,46.4,47.7,42.9,49.2,48.6,52.8,44,31,35.9,38,37.5,38.4,38.4,38.4
662,"LCA","Saint Lucia",51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,56,56.9,55.7,55.2,48.7,54.5,63.2,57.1,59.1,51.9,55.2,54.7,60.3,51.1,39.8,44.6,46.1,45.3,45.9,45.9,45.9
670,"VCT","Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
882,"WSM","Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
674,"SMR","San Marino",35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,50.4,40.3,42.8,42.2,37.2,42.1,41.2,43.9,37.1,44.3,45.8,42.9,42.2,20.5,27.1,20.8,27,26.6,32.8,32.8,32.8
678,"STP","Sao Tome and Principe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
682,"SAU","Saudi Arabia",0,0,0,0,0,0,0,0,0,1.9,1.9,0,0,0.8,3.3,1.9,0,0,2.4,4.6,4.1,6.6,0,0,0,0,0,0,0,0
686,"SEN","Senegal",61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,62.5,61.7,57.4,57.5,62.8,61.6,63.1,57.6,63,59.6,57.3,63,61,58.6,56.5,52.7,58.5,56.2,60.7,60.7,60.7
688,"SRB","Serbia",63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,69.7,65.5,64.9,60.6,58.6,63.6,64.1,65.2,60.1,61.3,69,64.2,65.8,50.3,52.7,49.3,52.2,55.6,56.1,56.1,56.1
690,"SYC","Seychelles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
694,"SLE","Sierra Leone",55.9,55.9,55.9,55.9,55.9,55.9,55.9,55.9,55.9,58.4,59.9,48.9,48.8,49.2,43.3,59.6,49.1,52.4,52.8,52.8,54.6,51.3,52.8,49.6,42.1,42.7,50.6,48.4,48.4,48.4
702,"SGP","Singapore",31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,29,33.3,20.9,45.2,41.8,27.2,42.8,33.5,26.7,28.9,25.3,11,36.7,25.1,22.1,6.3,36.3,27.6,26.9,26.9,26.9
534,"SXM","Sint Maarten",30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,35.8,37.7,37.2,38.1,38.1,38.1
703,"SVK","Slovakia",74,74,74,74,74,74,74,74,74,81.5,76.7,78.4,69.4,68.6,73.8,77.2,75.4,68.5,73.6,75.6,71.7,75.9,63.8,61.7,57.9,64.8,69.9,68.3,68.3,68.3
705,"SVN","Slovenia",63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,75.4,64.2,65.8,64.4,60.7,61.8,62.6,64.2,56.9,62.2,62.7,61.7,64.9,52.3,54.5,47.6,54.6,59.2,60.6,60.6,60.6
90,"SLB","Solomon Islands",97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,98.9,100,100,100,100,100,100,100,100,98.7,89.8,89.3,95,86.3,91.5,89.1,98.9,100,100,100,100
706,"SOM","Somalia",79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,79.4,78.3,74.9,83.1,77.5,71.8,76.7,78,71.3,71.5,81.2,83.7,86.3,80.3,80.6,79.9,76.2,71.8,63.9,64.9,64.9,64.9
710,"ZAF","South Africa",72.1,72.1,72.1,72.1,72.1,72.1,72.1,72.1,72.1,75.6,69.1,77.8,68.3,67,73.5,64.5,68.3,62.4,67.3,69.1,64.3,66.9,65.1,63.3,62,63.1,64.9,62.7,62.7,62.7
410,"KOR","South Korea",56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.8,42.2,49.3,51,41.2,37.9,48,52.7,48.7,36.5,41.9,36.3,40.1,19.8,25,22.2,24.9,28.3,25.2,25.2,25.2
728,"SSD","South Sudan",83,83,83,83,83,83,83,83,83,86,78.6,83,77.1,78.7,74,81.5,75.1,80.8,83.9,90.8,83.9,79.4,80.7,85.5,89.1,80.5,80.9,85.2,85.2,85.2
724,"ESP","Spain",40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,50.7,36.7,39.2,45,42.7,36.3,36.7,42.5,40.1,32.3,40.5,42.4,41.1,33.5,31.2,24.7,36.3,37.2,38.1,38.1,38.1
144,"LKA","Sri Lanka",50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50.5,50,46.8,51.4,51.8,51,50.7,46.7,45.5,43.6,42.2,52.8,57.8,45.7,43.3,39.6,40.6,34.2,38.5,30.9,30.9,30.9
275,"PSE","State of Palestine",36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,36.9,44.7,41.8,40.2,41.7,43.5,47.1,42.1,47.3,47.1,51.2,59.9,55.4,58.8,37,39.2,35.7,37.4,39.4,38.1,38.1,38.1
729,"SDN","Sudan",59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,67.2,57.7,62.9,60,57.7,54.2,58.9,52.3,57.4,63.5,66,57.1,57.6,53.2,56.5,56.7,46.1,50.5,52.5,52.5,52.5
740,"SUR","Suriname",81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,83.3,90.8,85.2,84.2,84,79.2,93.1,87.2,92.1,85.4,82.2,81.1,90.1,91.5,71.4,75.6,84,86.9,89.9,89.9,89.9
752,"SWE","Sweden",48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,48.9,49.7,41.2,40.8,40.9,39.2,44.5,46.2,37.7,40.9,29.2,39.5,34.1,43.1,28,27.7,25.3,24.6,33.9,35.4,35.4,35.4
756,"CHE","Switzerland",67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,67.6,73.4,69.1,71.3,67.1,70.2,68.1,71.1,71.6,66.9,69.9,71.1,67.1,70.4,57.5,54.3,49.3,53,59.6,57.5,57.5,57.5
760,"SYR","Syria",25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,33.7,26.5,25.6,31.7,29.5,32.7,26.7,34.5,31.2,29.1,35.3,35,34.8,25.9,24,20.6,23.1,20,23.1,23.1,23.1
158,"TWN","Taiwan",38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,37.4,48,51.6,48.7,42.8,33.7,44.3,37.5,44.6,44.8,46.2,44.8,57.3,18.9,7.8,8.1,9.8,10.1,18.8,18.8,18.8
762,"TJK","Tajikistan",51,51,51,51,51,51,51,51,51,51.8,49.5,50.2,54.4,56.9,57.4,52.4,51.4,54.8,52.2,60.9,54.6,58.1,50.7,47.1,44.1,46.6,49.7,47.5,47.5,47.5
834,"TZA","Tanzania",90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,96.5,89.5,99.3,94.1,93,91.6,92.2,93.8,90.5,93.4,99.6,98.4,94.4,99.3,99.1,97.3,95.5,88.1,87.6,87.6,87.6
764,"THA","Thailand",58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.4,58.9,54.6,59.6,56.1,56.4,63.9,58.5,54.2,62.7,58.4,61,62.9,57.6,57.5,56,46.1,47.1,51.7,56.6,56.6,56.6
626,"TLS","Timor-Leste",91.7,91.7,91.7,91.7,91.7,91.7,91.7,91.7,91.7,83,83.2,72.6,86.6,85,86.7,100,80.9,80.6,94.2,78,84,99.3,82.4,72.3,71.9,81.5,86.4,89.4,89.4,89.4
768,"TGO","Togo",83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,82.6,78.6,76.6,74.2,73.7,79.1,81.7,76,81.7,78,81.7,81.7,86.7,80.5,79.6,74.3,70.1,71.3,76.8,76.8,76.8
776,"TON","Tonga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
780,"TTO","Trinidad and Tobago",47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,47.9,51.4,51.9,50.1,50.6,47.2,50.5,54.7,51.5,56.2,48,51.1,51.3,51.2,47,34.8,36.9,40.9,41.4,42,42,42
788,"TUN","Tunisia",30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,37.8,30.2,32.3,33,33.4,32.3,28.2,33.6,32.6,28,35.2,33.9,37.8,16.7,16.7,11.5,16.6,21.2,24.6,24.6,24.6
792,"TUR","Turkiye",42,42,42,42,42,42,42,42,42,47.5,38.7,40.8,41,43.1,45.9,41.6,49.2,45,42.5,50.1,48.5,45.7,44,39.4,38.4,40.4,39.4,44.7,44.7,44.7
795,"TKM","Turkmenistan",41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,43.1,40.1,38.8,41.6,45.1,44.1,42.1,43.4,40,37.5,46.3,43.2,46.8,36.4,37.6,33.3,37.9,37.8,38.8,38.8,38.8
796,"TCA","Turks and Caicos Islands",24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,24.1,15.6,17.7,17.6,17.5,17.3,17.2,17,16.9,16.7,16.6,16.5,16.3,16.2,16,15.9,14.9,16.5,19.3,21.6,21.6,21.6
798,"TUV","Tuvalu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
800,"UGA","Uganda",82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,82.9,85.8,81.1,87.4,81.7,83.6,75.9,82.4,82.5,82.3,83.2,85.6,80.1,78,87.3,81.7,90.6,85.2,74.1,77.2,77.2,77.2
804,"UKR","Ukraine",63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,63.1,67.1,58.9,60.9,52.7,55.7,60.9,56.5,62,57.7,56.2,61.7,55.6,63,50.9,54.5,49.8,50.9,61.2,59.7,59.7,59.7
784,"ARE","United Arab Emirates",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,"GBR","United Kingdom",90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.7,90.8,81.1,78.6,81.2,73.5,80.1,84.4,78.3,76.3,62.2,72.1,63.4,76.1,59.9,57.1,52.9,48.9,60.8,60.5,60.5,60.5
840,"USA","United States of America",42.9,42.9,42.9,42.9,42.9,42.9,42.9,42.9,42.9,50.1,34.6,33,35.2,38.4,45.6,40.9,36.9,34.7,35.5,38.8,36.4,35.9,31.6,35.4,34.1,32.4,36.2,36.9,36.9,36.9
858,"URY","Uruguay",100,100,100,100,100,100,100,100,100,100,91.4,96.7,100,92.2,95.7,96.4,96.5,96.3,96.7,97.5,99.5,97.5,88.4,89.7,88.4,81.5,90.1,92.6,92.6,92.6
860,"UZB","Uzbekistan",62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,64.2,61.4,61.1,61.6,66.1,66.2,63.1,64.3,63.7,60.8,68.8,64.2,67.9,54.9,55.7,51.4,56.9,57.8,57.1,57.1,57.1
548,"VUT","Vanuatu",81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,78.6,75.9,79,86,86.2,76.4,76.9,77.4,77.9,78.4,78.9,80.1,87.7,74.9,68.9,62,67.3,74.8,88.9,88.9,88.9
862,"VEN","Venezuela",97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,95.9,96.2,95.3,94.6,88.6,92.7,100,100,100,91,86.7,90.6,99.2,93.2,79.2,80.7,85.3,89.1,90.5,90.5,90.5
704,"VNM","Viet Nam",46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.6,47.6,50.9,51.4,52.7,53.4,52.5,45.6,55.8,52.8,54,47.4,52.7,50.4,41.7,35.3,38.9,43.1,46.6,46.6,46.6
876,"WLF","Wallis and Futuna Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,"YEM","Yemen",11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,13.4,20.2,16.5,18.4,15.7,19.9,19,9.9,9.1,19.6,19.4,17.9,19.4,3.5,4,0,0,0,0,0,0
894,"ZMB","Zambia",91.1,91.1,91.1,91.1,91.1,91.1,91.1,91.1,91.1,94.1,83.2,95.2,87.3,84.2,91.2,86.2,85.3,85.4,86.8,86.2,87.8,88.4,90,89,86.2,85.2,82,82.6,82.6,82.6
716,"ZWE","Zimbabwe",93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,97.3,87.4,97.4,90.2,86,95.5,90.1,90.2,86.8,90.9,91.9,89.1,91.4,94.5,88.2,85.2,86.8,84.8,84,84,84
