"code","iso","country","PRS.ind.1995","PRS.ind.1996","PRS.ind.1997","PRS.ind.1998","PRS.ind.1999","PRS.ind.2000","PRS.ind.2001","PRS.ind.2002","PRS.ind.2003","PRS.ind.2004","PRS.ind.2005","PRS.ind.2006","PRS.ind.2007","PRS.ind.2008","PRS.ind.2009","PRS.ind.2010","PRS.ind.2011","PRS.ind.2012","PRS.ind.2013","PRS.ind.2014","PRS.ind.2015","PRS.ind.2016","PRS.ind.2017","PRS.ind.2018","PRS.ind.2019","PRS.ind.2020","PRS.ind.2021","PRS.ind.2022","PRS.ind.2023","PRS.ind.2024"
4,"AFG","Afghanistan",60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,57.8,54.9,52,52,52,52,52,52,52
8,"ALB","Albania",67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,66.6,66.1,65.7,65.7,65.7,65.7,65.7,65.7,65.7
12,"DZA","Algeria",76.7,76.7,76.7,76.7,76.7,76.7,76.7,76.7,76.7,76.7,76.7,76.7,76.7,76.7,76.7,76.7,76.7,76.7,76.7,76.7,76.7,76,75.3,74.6,74.6,74.6,74.6,74.6,74.6,74.6
20,"AND","Andorra",95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,95.5,94.6,93.6,92.7,92.7,92.7,92.7,92.7,92.7,92.7
24,"AGO","Angola",97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97.3,97.6,97.8,97.8,97.8,97.8,97.8,97.8,97.8
660,"AIA","Anguilla",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
28,"ATG","Antigua and Barbuda",29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,33.3,37.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2
32,"ARG","Argentina",37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,34.7,32.1,29.5,29.5,29.5,29.5,29.5,29.5,29.5
51,"ARM","Armenia",66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,60.6,55,49.3,49.3,49.3,49.3,49.3,49.3,49.3
533,"ABW","Aruba",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
36,"AUS","Australia",57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,58,58.5,59,59,59,59,59,59,59
40,"AUT","Austria",75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,75.3,74,72.8,71.6,71.6,71.6,71.6,71.6,71.6,71.6
31,"AZE","Azerbaijan",80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,75.2,69.7,64.2,64.2,64.2,64.2,64.2,64.2,64.2
44,"BHS","Bahamas",23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.5,23.4,23.3,23.3,23.3,23.3,23.3,23.3,23.3
48,"BHR","Bahrain",61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,61.1,60.2,59.3,58.5,58.5,58.5,58.5,58.5,58.5,58.5
50,"BGD","Bangladesh",74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,68.3,62.5,56.6,56.6,56.6,56.6,56.6,56.6,56.6
52,"BRB","Barbados",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,6.8,13.5,13.5,13.5,13.5,13.5,13.5,13.5
112,"BLR","Belarus",70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,71.5,72.3,73.1,73.1,73.1,73.1,73.1,73.1,73.1
56,"BEL","Belgium",62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62,61.8,61.6,61.6,61.6,61.6,61.6,61.6,61.6
84,"BLZ","Belize",39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,40.1,41.1,42,42,42,42,42,42,42
204,"BEN","Benin",79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,76.6,74.1,71.7,71.7,71.7,71.7,71.7,71.7,71.7
60,"BMU","Bermuda",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
64,"BTN","Bhutan",85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,82.1,78.5,74.9,74.9,74.9,74.9,74.9,74.9,74.9
68,"BOL","Bolivia",52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,49.5,46.1,42.8,42.8,42.8,42.8,42.8,42.8,42.8
70,"BIH","Bosnia and Herzegovina",63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,59.4,55.7,52.1,52.1,52.1,52.1,52.1,52.1,52.1
72,"BWA","Botswana",97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,97.6,96.3,95,93.8,93.8,93.8,93.8,93.8,93.8,93.8
76,"BRA","Brazil",42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,42.8,46.4,49.9,53.5,53.5,53.5,53.5,53.5,53.5,53.5
92,"VGB","British Virgin Islands",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
96,"BRN","Brunei Darussalam",16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,18.2,20.3,22.4,22.4,22.4,22.4,22.4,22.4,22.4
100,"BGR","Bulgaria",85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,85.7,80.5,75.3,70.1,70.1,70.1,70.1,70.1,70.1,70.1
854,"BFA","Burkina Faso",93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,92.7,91.5,90.2,90.2,90.2,90.2,90.2,90.2,90.2
108,"BDI","Burundi",84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,82.2,79.6,77.1,77.1,77.1,77.1,77.1,77.1,77.1
132,"CPV","Cabo Verde",33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,33.1,39.4,45.6,51.9,51.9,51.9,51.9,51.9,51.9,51.9
116,"KHM","Cambodia",65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,60,54.3,48.6,48.6,48.6,48.6,48.6,48.6,48.6
120,"CMR","Cameroon",56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,56.3,57.2,58.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1
124,"CAN","Canada",41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,38.8,36.2,33.6,33.6,33.6,33.6,33.6,33.6,33.6
136,"CYM","Cayman Islands",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
140,"CAF","Central African Republic",94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.6,94.3,94,93.7,93.7,93.7,93.7,93.7,93.7,93.7
148,"TCD","Chad",60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,60.4,64.6,68.8,73,73,73,73,73,73,73
152,"CHL","Chile",60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,54.8,49,43.2,43.2,43.2,43.2,43.2,43.2,43.2
156,"CHN","China",71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,71.2,67.6,64.1,60.5,60.5,60.5,60.5,60.5,60.5,60.5
170,"COL","Colombia",40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,42.8,45.5,48.2,48.2,48.2,48.2,48.2,48.2,48.2
174,"COM","Comoros",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
184,"COK","Cook Islands",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
188,"CRI","Costa Rica",35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,39.7,44.4,49.1,49.1,49.1,49.1,49.1,49.1,49.1
384,"CIV","Cote d'Ivoire",51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,49.8,47.6,45.5,45.5,45.5,45.5,45.5,45.5,45.5
191,"HRV","Croatia",78.8,78.8,78.8,78.8,78.8,78.8,78.8,78.8,78.8,78.8,78.8,78.8,78.8,78.8,78.8,78.8,78.8,78.8,78.8,78.8,78.8,78.6,78.4,78.2,78.2,78.2,78.2,78.2,78.2,78.2
192,"CUB","Cuba",43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,43.8,47.4,51,54.5,54.5,54.5,54.5,54.5,54.5,54.5
531,"CUW","Curacao",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
196,"CYP","Cyprus",55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,53,50.8,48.6,48.6,48.6,48.6,48.6,48.6,48.6
203,"CZE","Czech Republic",74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,74.5,73.2,71.9,70.6,70.6,70.6,70.6,70.6,70.6,70.6
180,"COD","Dem. Rep. Congo",64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,62.4,60.1,57.8,57.8,57.8,57.8,57.8,57.8,57.8
208,"DNK","Denmark",75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,73.7,72.5,71.2,71.2,71.2,71.2,71.2,71.2,71.2
262,"DJI","Djibouti",68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,68.9,74.7,80.5,86.3,86.3,86.3,86.3,86.3,86.3,86.3
212,"DMA","Dominica",19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,25.9,31.9,38,38,38,38,38,38,38
214,"DOM","Dominican Republic",49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,49.9,51.8,53.6,55.4,55.4,55.4,55.4,55.4,55.4,55.4
218,"ECU","Ecuador",39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,37.4,35.8,34.2,34.2,34.2,34.2,34.2,34.2,34.2
818,"EGY","Egypt",49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,47.6,46,44.4,44.4,44.4,44.4,44.4,44.4,44.4
222,"SLV","El Salvador",56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,54.1,52.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1
226,"GNQ","Equatorial Guinea",54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,54.8,58.2,61.6,64.9,64.9,64.9,64.9,64.9,64.9,64.9
232,"ERI","Eritrea",95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,94.1,92.3,90.4,90.4,90.4,90.4,90.4,90.4,90.4
233,"EST","Estonia",70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.7,70.1,69.4,68.7,68.7,68.7,68.7,68.7,68.7,68.7
748,"SWZ","Eswatini",71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.5,71.6,71.7,71.8,71.8,71.8,71.8,71.8,71.8,71.8
231,"ETH","Ethiopia",65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,65.6,64.7,63.7,62.8,62.8,62.8,62.8,62.8,62.8,62.8
234,"FRO","Faeroe Islands",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
238,"FLK","Falkland Islands",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
242,"FJI","Fiji",27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,27.3,28.3,29.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3
246,"FIN","Finland",60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.6,60.1,59.5,59,59,59,59,59,59,59
250,"FRA","France",56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,57.7,58.8,59.8,59.8,59.8,59.8,59.8,59.8,59.8
258,"PYF","French Polynesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,"GAB","Gabon",18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,18.6,23.2,27.7,32.3,32.3,32.3,32.3,32.3,32.3,32.3
