"code","iso","country","PRS.ind.1995","PRS.ind.1996","PRS.ind.1997","PRS.ind.1998","PRS.ind.1999","PRS.ind.2000","PRS.ind.2001","PRS.ind.2002","PRS.ind.2003","PRS.ind.2004","PRS.ind.2005","PRS.ind.2006","PRS.ind.2007","PRS.ind.2008","PRS.ind.2009","PRS.ind.2010","PRS.ind.2011","PRS.ind.2012","PRS.ind.2013","PRS.ind.2014","PRS.ind.2015","PRS.ind.2016","PRS.ind.2017","PRS.ind.2018","PRS.ind.2019","PRS.ind.2020","PRS.ind.2021","PRS.ind.2022","PRS.ind.2023","PRS.ind.2024"
270,"GMB","Gambia",67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,63.3,59.1,55,55,55,55,55,55,55
268,"GEO","Georgia",55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,55.3,50.9,46.5,42.1,42.1,42.1,42.1,42.1,42.1,42.1
276,"DEU","Germany",66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.8,66.3,65.8,65.4,65.4,65.4,65.4,65.4,65.4,65.4
288,"GHA","Ghana",68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,68.8,67.5,66.2,64.9,64.9,64.9,64.9,64.9,64.9,64.9
300,"GRC","Greece",55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,53.7,51.9,50.1,50.1,50.1,50.1,50.1,50.1,50.1
304,"GRL","Greenland",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
308,"GRD","Grenada",4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,10,15.8,21.6,21.6,21.6,21.6,21.6,21.6,21.6
320,"GTM","Guatemala",50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50.2,50,49.7,49.5,49.5,49.5,49.5,49.5,49.5,49.5
831,"GGY","Guernsey",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
324,"GIN","Guinea",95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,95.6,90.9,86.1,81.4,81.4,81.4,81.4,81.4,81.4,81.4
624,"GNB","Guinea-Bissau",90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,85.5,80.9,76.3,76.3,76.3,76.3,76.3,76.3,76.3
328,"GUY","Guyana",69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,69.4,63.4,57.4,51.4,51.4,51.4,51.4,51.4,51.4,51.4
332,"HTI","Haiti",93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,93.3,95,96.6,98.3,98.3,98.3,98.3,98.3,98.3,98.3
336,"VAT","Holy See",61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,60.6,60.1,59.7,59.7,59.7,59.7,59.7,59.7,59.7
340,"HND","Honduras",41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3
344,"HKG","Hong Kong",34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,29.4,24.3,19.2,19.2,19.2,19.2,19.2,19.2,19.2
348,"HUN","Hungary",73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,73.7,74.3,75,75.6,75.6,75.6,75.6,75.6,75.6,75.6
352,"ISL","Iceland",29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,35.4,41.1,46.8,46.8,46.8,46.8,46.8,46.8,46.8
356,"IND","India",62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,62.9,57.2,51.5,45.8,45.8,45.8,45.8,45.8,45.8,45.8
360,"IDN","Indonesia",65.2,65.2,65.2,65.2,65.2,65.2,65.2,65.2,65.2,65.2,65.2,65.2,65.2,65.2,65.2,65.2,65.2,65.2,65.2,65.2,65.2,63.2,61.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3
364,"IRN","Iran",54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,53,51.6,50.2,50.2,50.2,50.2,50.2,50.2,50.2
368,"IRQ","Iraq",90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,90.5,88.4,86.3,84.2,84.2,84.2,84.2,84.2,84.2,84.2
372,"IRL","Ireland",82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.2,81.5,80.9,80.9,80.9,80.9,80.9,80.9,80.9
833,"IMN","Isle of Man",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
376,"ISR","Israel",37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,37.2,39.9,42.6,45.2,45.2,45.2,45.2,45.2,45.2,45.2
380,"ITA","Italy",65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,65.7,64.2,62.7,61.2,61.2,61.2,61.2,61.2,61.2,61.2
388,"JAM","Jamaica",53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,53.6,54.2,54.9,55.6,55.6,55.6,55.6,55.6,55.6,55.6
392,"JPN","Japan",29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,32.4,35.4,38.5,38.5,38.5,38.5,38.5,38.5,38.5
832,"JEY","Jersey",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
400,"JOR","Jordan",52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,52.6,51.7,50.8,49.9,49.9,49.9,49.9,49.9,49.9,49.9
398,"KAZ","Kazakhstan",87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,87.6,80.5,73.5,66.4,66.4,66.4,66.4,66.4,66.4,66.4
404,"KEN","Kenya",85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,85.2,84.7,84.3,83.8,83.8,83.8,83.8,83.8,83.8,83.8
296,"KIR","Kiribati",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
689,"XKX","Kosovo",52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,48.6,45.2,41.7,41.7,41.7,41.7,41.7,41.7,41.7
414,"KWT","Kuwait",84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,84.3,81.2,78.1,75,75,75,75,75,75,75
417,"KGZ","Kyrgyzstan",80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,71,61.4,51.8,51.8,51.8,51.8,51.8,51.8,51.8
418,"LAO","Laos",72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2
428,"LVA","Latvia",78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,76.5,75,73.4,73.4,73.4,73.4,73.4,73.4,73.4
422,"LBN","Lebanon",41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,41.3,40,38.8,37.5,37.5,37.5,37.5,37.5,37.5,37.5
426,"LSO","Lesotho",84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.9,84.6,84.3,84,84,84,84,84,84,84
430,"LBR","Liberia",72.7,72.7,72.7,72.7,72.7,72.7,72.7,72.7,72.7,72.7,72.7,72.7,72.7,72.7,72.7,72.7,72.7,72.7,72.7,72.7,72.7,65.1,57.4,49.8,49.8,49.8,49.8,49.8,49.8,49.8
434,"LBY","Libya",49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,49.8,55.6,61.4,67.2,67.2,67.2,67.2,67.2,67.2,67.2
438,"LIE","Liechtenstein",56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,53.2,50.1,47,47,47,47,47,47,47
440,"LTU","Lithuania",74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.2,74.8,75.4,76.1,76.1,76.1,76.1,76.1,76.1,76.1
442,"LUX","Luxembourg",84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,84.6,83.2,81.8,80.3,80.3,80.3,80.3,80.3,80.3,80.3
446,"MAC","Macao",40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,46.4,52.7,59,59,59,59,59,59,59
450,"MDG","Madagascar",90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,86.8,83.7,80.6,80.6,80.6,80.6,80.6,80.6,80.6
454,"MWI","Malawi",73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,70.7,68.3,65.8,65.8,65.8,65.8,65.8,65.8,65.8
458,"MYS","Malaysia",14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,16.3,18,19.7,19.7,19.7,19.7,19.7,19.7,19.7
462,"MDV","Maldives",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
466,"MLI","Mali",99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2
470,"MLT","Malta",45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,43.5,41.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5
584,"MHL","Marshall Islands",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
478,"MRT","Mauritania",97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,97.2,96.7,96.2,95.7,95.7,95.7,95.7,95.7,95.7,95.7
480,"MUS","Mauritius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,9.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6
484,"MEX","Mexico",55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,53.3,51.7,50.1,50.1,50.1,50.1,50.1,50.1,50.1
583,"FSM","Micronesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1,1.7,1.7,1.7,1.7,1.7,1.7,1.7
498,"MDA","Moldova",66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.4,66.3,66.1,66,66,66,66,66,66,66
492,"MCO","Monaco",67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,67.3,64.2,61,57.9,57.9,57.9,57.9,57.9,57.9,57.9
496,"MNG","Mongolia",96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,96.9,93.9,91,88.1,88.1,88.1,88.1,88.1,88.1,88.1
499,"MNE","Montenegro",75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,71.4,67.8,64.1,64.1,64.1,64.1,64.1,64.1,64.1
504,"MAR","Morocco",66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,64.8,63.5,62.3,62.3,62.3,62.3,62.3,62.3,62.3
508,"MOZ","Mozambique",95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,94.9,94.5,94.2,94.2,94.2,94.2,94.2,94.2,94.2
104,"MMR","Myanmar",69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,69.2,65.5,61.7,58,58,58,58,58,58,58
516,"NAM","Namibia",99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,99.1,98.4,97.7,97,97,97,97,97,97,97
520,"NRU","Nauru",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
524,"NPL","Nepal",85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,85.6,79.4,73.2,67,67,67,67,67,67,67
528,"NLD","Netherlands",57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57,56.5,55.9,55.9,55.9,55.9,55.9,55.9,55.9
540,"NCL","New Caledonia",45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,45.7,49.2,52.8,56.4,56.4,56.4,56.4,56.4,56.4,56.4
554,"NZL","New Zealand",58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,60,61.1,62.3,62.3,62.3,62.3,62.3,62.3,62.3
558,"NIC","Nicaragua",50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,53.6,56.2,58.8,58.8,58.8,58.8,58.8,58.8,58.8
562,"NER","Niger",91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,86.6,82.1,77.7,77.7,77.7,77.7,77.7,77.7,77.7
566,"NGA","Nigeria",56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,53.2,50.2,47.3,47.3,47.3,47.3,47.3,47.3,47.3
570,"NIU","Niue",77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8,77.8
408,"PRK","North Korea",68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,68.2,65.7,63.2,60.7,60.7,60.7,60.7,60.7,60.7,60.7
