"code","iso","country","RCY.ind.1995","RCY.ind.1996","RCY.ind.1997","RCY.ind.1998","RCY.ind.1999","RCY.ind.2000","RCY.ind.2001","RCY.ind.2002","RCY.ind.2003","RCY.ind.2004","RCY.ind.2005","RCY.ind.2006","RCY.ind.2007","RCY.ind.2008","RCY.ind.2009","RCY.ind.2010","RCY.ind.2011","RCY.ind.2012","RCY.ind.2013","RCY.ind.2014","RCY.ind.2015","RCY.ind.2016","RCY.ind.2017","RCY.ind.2018","RCY.ind.2019","RCY.ind.2020","RCY.ind.2021","RCY.ind.2022","RCY.ind.2023","RCY.ind.2024"
4,"AFG","Afghanistan",14.7,15.9,20.1,20.8,19.2,6.3,11.5,28.7,23.7,18.6,32.5,25,35.2,21.3,39.2,37.6,27.1,40.2,40.9,40,42.8,38.5,40,43.8,42.5,38.4,38.4,41.9,41.9,41.9
8,"ALB","Albania",36.2,27.8,36.3,37.2,34.8,42.1,39.3,44.2,40.8,44.8,46.3,47.6,51.3,58.7,62.2,67.1,66.2,68.6,70.2,69,68.9,66.2,68,68.4,71.4,73.8,71.8,73.6,73.6,73.6
12,"DZA","Algeria",11.2,27.8,10.4,10.8,18.4,13.5,18.5,18,31.2,27.5,32.7,33,25.1,20.1,40.2,34,38.5,39.8,44.6,31,31.5,19.5,18.7,48.5,42.5,34.9,32.4,38.7,38.7,38.7
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",7.3,10.4,7.2,12.3,12,16.7,19.3,22.2,19.4,18.8,19.6,19,18.2,27.9,24.3,26.7,24.3,24,28.8,17.7,19.1,11.9,12.4,15.3,15.9,17,17,18.4,18.4,18.4
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1,54.1
32,"ARG","Argentina",64.8,61.1,57.2,77.9,73.4,73.3,77.2,79.8,84.1,75,90,88,96.6,93.2,62.2,100,93.3,80.8,90.6,95.6,100,100,100,83.5,100,98.8,95.7,95.3,95.3,95.3
51,"ARM","Armenia",36.8,37.5,22.7,33.8,33.3,21.3,36.1,44.2,29.7,47.9,39.9,25.1,57.3,52.8,49.9,44.3,63.1,59.9,70.7,73.7,72.3,70.6,43.2,59,36.4,45.9,25,46.7,46.7,46.7
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",27.4,47.5,57.1,49,50,52.3,48.3,57,20.1,56.5,42.7,56,19.6,30.2,40.9,41.8,53.8,58.9,50.1,57.9,53,56,75.4,55.2,47.2,45,74.6,84.7,84.7,84.7
40,"AUT","Austria",68.7,63.1,71,70.3,74.4,64,70.5,70.3,62,80.7,75.8,70.6,70.8,84.6,76.7,73.6,88.2,71.5,72.4,89.2,75.1,92.6,77.5,75.1,86.3,91.1,88.9,84.1,84.1,84.1
31,"AZE","Azerbaijan",28,28.8,22.6,21.4,32.2,38.5,46.9,48.6,48.9,49.4,50.1,48.8,51.8,55.1,52.8,38.6,50.2,55.3,56.3,47.2,68.3,64.5,59.9,63.4,73.1,74.6,76.3,74.4,74.4,74.4
44,"BHS","Bahamas",73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3
48,"BHR","Bahrain",57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2
50,"BGD","Bangladesh",43.2,45.3,44.9,48.3,53.6,59.5,58.3,60.4,62.4,62.1,67.9,70.1,76.3,78.6,79.1,82.5,83.9,85.3,87.7,88.5,89.5,90.6,93.2,95.8,96.5,98.9,99.5,100,100,100
52,"BRB","Barbados",71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
112,"BLR","Belarus",37.3,41.9,37.7,30.3,23.9,33.5,33.1,41.2,45.2,56.7,51.1,49.3,52.3,62.9,57.6,48.6,53.1,56.7,48.7,59.5,58.8,50.7,56.8,43.4,51.3,58.4,48.7,49.2,49.2,49.2
56,"BEL","Belgium",99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6
84,"BLZ","Belize",43.4,53.6,53,55.3,62.1,54.1,59.9,54.8,59.1,53.1,52.8,59.7,62.9,46.8,52.4,66.5,57.3,68.1,71,67.6,54.5,61.3,73.4,67.5,55.8,58.6,72.4,75.5,75.5,75.5
204,"BEN","Benin",47,47.4,44.8,42.8,44.9,44,47,47.8,49.1,51.3,41.2,43.5,47.2,39.8,45.7,39,52.9,42.3,44.7,46.7,40.8,48.5,49.9,52.1,46.9,52,50.9,44.2,44.2,44.2
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",9.7,10.6,11.5,11.5,11,10.3,10,11.8,16.5,33.5,26.8,26.6,22.6,32.2,23,28.5,33.8,34.2,38.3,37.9,39.5,38,38.2,39.1,34.8,42.1,41.2,41.1,41.1,41.1
68,"BOL","Bolivia",43.6,42,41.8,42.3,36.5,45.6,47.8,48.6,58.6,50.6,49.8,50.9,48.7,49.4,61.8,51.1,48.3,63.9,59.8,61.9,69.9,69,57.9,66.7,63.6,62.2,74.9,61.7,61.7,61.7
70,"BIH","Bosnia and Herzegovina",27.7,28.2,30,29.2,32.1,18.2,25.7,33.2,16.7,40.5,38.2,38.4,26.3,40,41.9,33.1,32,22.9,35.9,34.4,32.7,51.4,33.1,54.7,52.8,60.9,41.9,75.8,75.8,75.8
72,"BWA","Botswana",38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5,38.5
76,"BRA","Brazil",54.5,54.6,57.6,60.8,62.2,62.2,73,69.3,79.4,69.7,66.2,72.3,82.9,85.8,80.3,90.3,93.1,88.5,95.9,92.9,99.8,91.5,100,100,100,100,100,99,99,99
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",6.3,6.4,6.5,6.6,6.5,6.5,6.4,6.3,6.3,6.2,6.1,7.4,9.5,8.6,8,12.3,22.1,20.1,22.6,25.7,42,27.6,29.1,33.2,34.3,54,47.9,49.4,49.4,49.4
100,"BGR","Bulgaria",44.7,24.6,39.2,35.2,38.3,31.3,40.8,47.9,35.5,66.9,52.8,58.1,33.5,70.4,62.1,72.9,71.1,62.2,81,86.6,78.5,86.8,95,94.1,95.1,74.1,99.9,90.7,90.7,90.7
854,"BFA","Burkina Faso",60.4,66.5,48.5,64.3,65.4,57.2,67.9,65.6,70,66.2,79.7,84.9,63.3,73.2,64.6,69.1,60.5,73.6,71.6,78.4,72.1,67.3,56.1,68.6,68.8,72.1,58.7,67.7,67.7,67.7
108,"BDI","Burundi",21.1,21.8,23.1,21.5,21.2,20.8,21.8,22.8,21.8,21.7,20.3,20.2,21.1,18.2,13.9,14.5,13.1,12.3,24.4,28.4,30.9,34.4,24.7,28.2,25.7,24.9,29.6,30.4,30.4,30.4
132,"CPV","Cabo Verde",36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1
116,"KHM","Cambodia",26.6,27.2,26.6,26.4,30.6,35,34.2,30.3,36.6,33.7,45.1,48,51.2,55.3,58.5,60.2,63.2,66.7,66.8,67.2,68.8,71.8,75.7,76,73.2,74.3,78.6,81.5,81.5,81.5
120,"CMR","Cameroon",27.6,33,30.9,32,47.2,45.4,41.6,37.5,37.8,36.5,48.6,49.9,50.7,49.8,48.5,49.8,49.1,47,50.6,48.3,47.1,46.6,50.2,51.4,79.9,56.3,51,48.4,48.4,48.4
124,"CAN","Canada",76,84.2,74,79.5,90.5,82.9,66.2,62.4,77.3,90.9,97.3,92.2,81.5,100,100,100,100,96.1,100,100,100,100,100,100,100,100,88.2,100,100,100
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8
148,"TCD","Chad",37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8
152,"CHL","Chile",61.7,57.2,64.9,71.3,59.5,64.4,73.2,75.1,75.1,80.1,80.4,81.8,77.3,80.2,75.9,96,100,91,100,92,100,100,100,100,100,100,100,100,100,100
156,"CHN","China",60.7,64.2,64.3,64.7,64.6,62.4,62.6,64.5,62.7,68.5,68.5,70.2,70,73.3,71.7,72.8,75.4,77.7,78.3,78.9,79.1,79.5,80.5,82.3,85.8,85.2,84.8,85.9,85.9,85.9
170,"COL","Colombia",54.4,56.2,59,58.5,60.1,59.8,59.5,66.3,69.9,70.5,71,65.4,67.4,67,68.2,66.3,66.6,64.9,63.9,74.2,71.6,69,65.5,70.6,65.1,74.8,76.3,78.4,78.4,78.4
174,"COM","Comoros",40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",83.1,74.1,84.9,81.5,73.1,75.6,78.5,72.5,73.5,71.4,70,80,78.3,78.4,77.7,70,71.2,76.7,74.1,70.7,66.7,73.7,70.2,71.7,71.4,75.6,82.3,76.7,76.7,76.7
384,"CIV","Cote d'Ivoire",29.5,35.5,34.6,43.4,47.4,47.9,44.2,48.5,49.3,40.6,45.7,41.6,38.8,41.6,40.4,47.2,44.7,49.8,45.7,46,47.3,45.4,44.9,46.2,45.4,46.5,46.6,45.8,45.8,45.8
191,"HRV","Croatia",42.9,42.8,49.3,48.2,45.8,40.9,49.4,56.9,34.4,60.2,58.9,62.6,52.6,78.1,71.6,61.8,62.2,53.2,66.2,72.6,67,84.6,72.4,86.4,86.3,85.5,83.3,71.1,71.1,71.1
192,"CUB","Cuba",29.7,35.8,34.3,32.4,41.9,42.2,41,45.6,50.7,48.2,34.1,42.7,52.7,53.5,40.8,33.7,37.4,55.2,56.6,57.4,56.4,54.7,50.9,52.2,52.9,44.7,38.5,43.2,43.2,43.2
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6,57.6
203,"CZE","Czech Republic",60.9,60.5,59.9,58.2,64.2,57.3,67,61.7,54.3,84,71.7,63.9,68.8,80,77.2,69.9,81.6,67.6,82.9,98.7,89.9,96.2,82.3,81.4,84.4,91.5,90.7,90.9,90.9,90.9
180,"COD","Dem. Rep. Congo",25.1,25.2,25.2,25.3,24.7,24.6,24.5,24,24.1,24.1,24.1,23.8,24.1,24.1,24.3,26.6,26.6,26.9,26.4,25.8,25.7,26.7,26.1,26.6,27.2,28.3,28.6,27.6,27.6,27.6
208,"DNK","Denmark",89.6,87.3,91.1,90.2,86.2,93.2,91.6,86.2,90.9,91,91.9,86,84.1,91.9,100,86.6,87.3,96.8,98.1,100,100,94.5,100,76.6,100,100,100,100,100,100
262,"DJI","Djibouti",63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6
212,"DMA","Dominica",56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4,56.4
214,"DOM","Dominican Republic",82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5
218,"ECU","Ecuador",26.6,29.9,30.1,33.2,33.1,36.6,31.2,36.5,40.6,44.3,45,44.6,51.8,52.6,47.7,48.2,38.7,50.2,41.8,55.8,69.4,56.6,62.7,59.4,64.7,61.5,71.5,69.7,69.7,69.7
818,"EGY","Egypt",34.8,36.7,35.4,36.3,37.5,38.4,39.4,39.9,40.5,43,43.5,45.5,41,38.9,41.7,35.9,43.2,39.9,43.2,39.2,43.3,43,39.8,48.7,33.5,41.3,44.7,43.5,43.5,43.5
222,"SLV","El Salvador",54.7,58.9,47.1,51.3,58.8,58.5,52.5,67.4,65.8,69.6,71.3,76.8,70.6,77.5,76.4,74.8,69.1,76.3,76,68.3,62,75.8,79.4,67.9,78.7,77.6,83.2,74.7,74.7,74.7
226,"GNQ","Equatorial Guinea",39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4,39.4
232,"ERI","Eritrea",5.4,0,0,29.8,19.3,1.6,13.7,0,0,0,20.7,21.2,30.3,0,4.4,6.3,13.4,15.1,14.2,14,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2,13.2
233,"EST","Estonia",37.4,49.4,44,32,26.7,47,45.6,44.9,40.5,45.4,56.9,42.8,63.3,55.6,55.9,46.6,51.4,69.8,66.5,77.5,96.7,51.3,85,51.8,100,100,79.7,92.8,92.8,92.8
748,"SWZ","Eswatini",64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6,64.6
231,"ETH","Ethiopia",15.3,20,21.5,19.2,18.6,17.7,19.8,25.4,19.9,21.7,25.3,31,26.3,28.1,31.3,35.4,38.5,40.6,45.6,49.1,51.5,52.1,56.6,64.2,68.3,68.6,68.9,65.3,65.3,65.3
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
246,"FIN","Finland",93.3,94.4,95.1,59.4,71.6,96,87.9,88.9,85.1,85.1,95.3,91.5,99.2,97.8,100,79.6,92.4,94.5,100,100,96.9,98.3,100,85.1,100,96,75.2,100,100,100
250,"FRA","France",81.8,90.2,89,94.2,93,91.9,83.3,95.8,79.6,98.2,92.5,87.6,84.7,95.2,99.3,92.5,92.4,95.1,90.7,100,99.2,75.1,99.9,89,97.7,81,95.1,88.6,88.6,88.6
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
