"code","iso","country","RCY.ind.1995","RCY.ind.1996","RCY.ind.1997","RCY.ind.1998","RCY.ind.1999","RCY.ind.2000","RCY.ind.2001","RCY.ind.2002","RCY.ind.2003","RCY.ind.2004","RCY.ind.2005","RCY.ind.2006","RCY.ind.2007","RCY.ind.2008","RCY.ind.2009","RCY.ind.2010","RCY.ind.2011","RCY.ind.2012","RCY.ind.2013","RCY.ind.2014","RCY.ind.2015","RCY.ind.2016","RCY.ind.2017","RCY.ind.2018","RCY.ind.2019","RCY.ind.2020","RCY.ind.2021","RCY.ind.2022","RCY.ind.2023","RCY.ind.2024"
807,"MKD","North Macedonia",44.1,32.6,36.9,44.1,41.3,34.5,28.8,40.6,30,53.9,46.5,46.6,34.7,53.3,49.7,49.2,51.4,38.2,48.7,60.4,42.2,58.1,38.7,52.5,51.9,54.3,52.3,51.3,51.3,51.3
578,"NOR","Norway",67,79.4,77.3,78.3,71.5,74.1,71.3,67.4,75.9,88.1,78.3,72.2,72.9,89.9,65.9,78.4,66.5,73.9,66.2,89.3,96.4,94.2,94.3,53.9,97.6,95.3,87.9,97,97,97
512,"OMN","Oman",29.6,34.1,39.2,44.4,51.4,54.3,59.8,64.1,65.7,59.3,51.5,47.2,55.5,50.2,66.8,83.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100
586,"PAK","Pakistan",46.9,43.7,44.1,46.7,50.8,53.5,50,50.9,51,59.9,59.7,58.2,60.7,59.9,62.3,59.9,68.9,66.4,68.7,68.8,62.2,67,71.1,69.3,68.2,70.5,75.3,68.2,68.2,68.2
585,"PLW","Palau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
591,"PAN","Panama",37.9,39.6,37.4,44.1,45.6,42.9,48.3,47.8,51.3,41.4,47.9,46.4,50.1,52.3,50.3,43.6,52.8,53.8,58.3,62.9,49.5,60.9,59.9,65.3,64.6,66.5,67.3,68,68,68
598,"PNG","Papua New Guinea",71.1,69.4,67.7,71.2,74.8,80,75.8,68.7,66,67.1,67.8,65.8,65.6,66.1,66.4,62.5,64,63.7,64.2,62.9,62.6,61.2,60.1,59.2,59.1,58.7,58.1,57.5,57.5,57.5
600,"PRY","Paraguay",61.9,61,66.1,60.7,60,59.8,59.5,57.1,68.7,52.6,53.3,46.5,68.6,69.3,42.4,80.5,83.3,46.1,84.6,81.1,78.2,85,93.8,93.8,78.6,94.8,85.5,50.7,50.7,50.7
604,"PER","Peru",31.4,34.9,32.2,31,36.4,36.2,38.8,40.5,41.9,40.1,42.7,43.1,43.2,47.3,48.2,47.8,48.1,51.2,51.2,51.6,53.5,54.8,53.1,56.9,55.5,57.6,59.4,59.5,59.5,59.5
608,"PHL","Philippines",42.4,43.1,44.9,42.2,47,49.1,51.1,52.2,54.8,59.4,60.2,63.9,67.2,68.1,65.4,64.7,68.2,71.4,71.9,74.7,72.7,71.9,76.6,75.3,77.1,78.2,79.7,79.2,79.2,79.2
616,"POL","Poland",47.3,46.8,42.6,49.6,44,41.5,46.2,50.6,43,57.4,50.8,41.3,53.8,52.4,57.7,57.2,54.8,59.8,61.9,72.4,59.7,65.6,70.1,54.7,57.7,75.7,73.2,76.3,76.3,76.3
620,"PRT","Portugal",28.8,35.5,29.1,33.6,40.9,41.3,32.9,46.6,33.6,44.5,27.2,55.9,51.5,57,49.8,48.4,53.5,53.8,61.8,67.4,68.7,68.6,72.8,76.3,84.9,81.8,84.8,76.1,76.1,76.1
634,"QAT","Qatar",63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3,63.3
178,"COG","Republic of Congo",40.1,41.1,39.9,42.6,41.1,40.8,41.2,41.1,41,40.6,41.5,42.6,43,45.4,45.2,43.6,43.7,46,46.6,49.4,49.8,48,47.4,47.9,46.6,46.7,47.1,46.8,46.8,46.8
642,"ROU","Romania",38.7,27,42.5,31.3,39,20.8,37.3,29.6,30.6,53.6,44.3,42.8,16.8,46.1,37.8,47.4,57.7,32,59.9,65.4,55.6,64,89,96.1,88.8,52.8,85.8,61.6,61.6,61.6
643,"RUS","Russia",25.7,28.6,39,25.8,30.8,33.6,42.9,44.3,39.3,42.2,43,43.8,45.7,56.3,53,39.4,53.2,42.1,52.5,55.9,55.4,62.7,70.8,63.5,67.6,70,65.6,84.4,84.4,84.4
646,"RWA","Rwanda",8.8,9.4,7,6,4.4,15.5,14.5,19.2,17.3,13.7,18.6,17.7,14.1,16.6,24.6,33,38.3,39.7,39.3,21.1,19.9,18,17.7,19.8,21.7,22.2,22.6,22.6,22.6,22.6
652,"BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,"KNA","Saint Kitts and Nevis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
662,"LCA","Saint Lucia",58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2,58.2
670,"VCT","Saint Vincent and the Grenadines",75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5
882,"WSM","Samoa",65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
674,"SMR","San Marino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
678,"STP","Sao Tome and Principe",35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6
682,"SAU","Saudi Arabia",91.3,87.3,88,87.7,88.2,89.6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
686,"SEN","Senegal",59.8,45.7,41.7,50.3,60.1,59.8,58.7,26.2,59.4,47.8,64.5,50.4,33.3,60.4,63.7,69.1,42.7,65.8,51.6,48.3,63.9,58.1,74.1,84.4,79.9,95.9,92.6,90.6,90.6,90.6
688,"SRB","Serbia",77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1,77.1
690,"SYC","Seychelles",57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1
694,"SLE","Sierra Leone",40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7
702,"SGP","Singapore",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
534,"SXM","Sint Maarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
703,"SVK","Slovakia",48.6,48.3,52.2,48.6,46.2,30.2,48,48.5,40.4,62.5,57.9,52.3,45.4,68.6,56.6,45.4,62.9,47.7,58.9,81.3,65.2,86.7,67,73.4,69.6,79.5,79.8,64.2,64.2,64.2
705,"SVN","Slovenia",51,49.6,57.9,61.1,52.9,49.2,48.6,66.2,38.9,62.9,65.6,53.4,59.1,60.2,57.5,68.9,73.5,67.4,50.4,77.3,73.1,77,65.4,71.2,77.5,90.1,82.3,65.5,65.5,65.5
90,"SLB","Solomon Islands",66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2,66.2
706,"SOM","Somalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
710,"ZAF","South Africa",18.5,35.8,30.1,31.6,34.4,39.5,36.3,42,34.3,38.7,47,47.8,39.3,59.4,63.1,56,58.9,57.6,55,67.1,45.7,51.1,72.4,66.2,57,72.2,73.2,62.1,62.1,62.1
410,"KOR","South Korea",75.1,84.7,87.1,78.3,82.6,83.3,86,79,74.8,85,83.4,83.4,79.4,88.8,91,81.5,83,80.4,86.8,88.9,92.3,91.6,90.1,88.7,88.1,81.8,92.6,89,89,89
728,"SSD","South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
724,"ESP","Spain",29.1,70.3,57.8,73,53.3,78.2,53.2,66.2,66.9,80.6,37.9,64.4,90.3,79.7,60.6,71.5,78.9,54.3,87.4,67,66.3,85,56.4,94.7,73.3,100,94,69,69,69
144,"LKA","Sri Lanka",54.3,53.3,55.9,61.6,57.3,60.5,62.3,61.8,59.3,65.8,64,66.5,69.8,68.3,72.6,76.7,66.6,68.5,73.7,73.1,76.1,73.7,56.9,73,94.2,95.1,91.8,56.9,56.9,56.9
275,"PSE","State of Palestine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
729,"SDN","Sudan",35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,43.9,50.9,35.7,50,43,55.4,40.6,43,32.1,55.8,55.8,55.8
740,"SUR","Suriname",60.4,65.4,71.1,68.2,67,69.5,67.4,69.8,66.7,63.7,64.4,74.7,77.1,75.7,76.9,77.4,75.4,79.9,83.3,82.3,84.2,82.3,92,91.9,85.7,80.5,87.1,89.4,89.4,89.4
752,"SWE","Sweden",86.7,96.6,93.5,86.8,87.5,91.4,93.1,95,89.1,95.6,96.5,83.7,99.4,97.3,100,87.1,92.6,100,100,100,100,100,100,67.8,100,100,100,100,100,100
756,"CHE","Switzerland",75.7,87,83.6,84.4,70.6,83,74.3,81.3,66.5,87.4,81.8,77.4,82.8,83.2,87.1,78.7,92,84.9,75.8,96.4,83.7,69,91,82.1,84.8,90.2,71.3,82.5,82.5,82.5
760,"SYR","Syria",38.8,45.3,28.6,35.9,21.7,23.5,36.4,47,47.4,37.4,39.7,47.2,36.3,15,39.3,24.2,37.1,35.9,33.8,18.5,48.5,21.4,25.3,8.7,61.5,46.9,8.3,10.9,10.9,10.9
158,"TWN","Taiwan",90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8,90.8
762,"TJK","Tajikistan",19.7,14.4,21.1,19.6,16.4,18,25.5,33.6,35.6,36.5,31.5,33.7,37.4,31.5,49,50.7,42.3,48.2,52.5,52.4,50.1,51.5,56.4,48.4,57.6,57.8,65.6,56.5,56.5,56.5
834,"TZA","Tanzania",31.7,29,20,18.9,31.2,24,32.3,31.3,9.8,20,16.2,20.9,22,19.6,16.2,25,24.9,22.6,27.1,29.6,28.4,26.6,25.1,33.5,33.3,29.9,29,27.4,27.4,27.4
764,"THA","Thailand",53.3,54.9,53,53.3,54.8,59.7,64.9,65.6,67.5,66.7,65.6,67.7,71.3,71.6,70.5,68.9,74.5,76.6,76.3,75.4,71.3,72.1,74.7,75.5,73.4,67.6,70.3,73.2,73.2,73.2
626,"TLS","Timor-Leste",58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9
768,"TGO","Togo",29.7,26.8,31.6,26.6,31.1,30.4,37.6,38,34.9,33,33,31.5,31.8,31.8,34.7,33.7,35.9,26.4,27.2,28.7,30.5,27.9,27.6,28.4,27.5,27.7,28.4,28.8,28.8,28.8
776,"TON","Tonga",66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6,66.6
780,"TTO","Trinidad and Tobago",58.7,67.6,66.9,49,57.5,57.6,53.5,55,54.2,51.6,47.6,53,52.3,31,24.6,26.6,26.9,27.9,30.2,22.6,18,26.3,28.8,34.7,31,36.2,39.6,36.9,36.9,36.9
788,"TUN","Tunisia",25.6,39,23.4,32,30.2,21.3,48,31.4,38.8,32.6,37.8,31,45.2,38.6,55.8,46.5,48.4,47.5,25.9,52.9,25.9,41.6,33.5,29.2,58.9,34,38,45.9,45.9,45.9
792,"TUR","Turkiye",41.5,42.2,43.9,49.6,42.5,49.1,43.7,46.8,47.4,51.8,54.8,56.8,49.2,52.3,58.4,57.9,64,63.9,70.3,60.4,71,66.1,71.4,69.8,70.9,74.1,64.2,76,76,76
795,"TKM","Turkmenistan",59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6,59.6
796,"TCA","Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,"TUV","Tuvalu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
800,"UGA","Uganda",39.6,29,30,39.5,43.9,40.8,44.2,45.1,47.1,44.9,48.3,46.3,45.6,37.5,40.6,39.5,38.3,31.6,31.7,32.8,32.8,29.7,28.9,31.4,34.2,33.9,61.5,32.9,32.9,32.9
804,"UKR","Ukraine",41.4,30.9,37.1,31.6,30.6,34,41.2,43.7,37.6,42.7,44.4,44.7,36.7,60.7,53.8,48.9,66.1,56.6,72.8,76.5,76.7,87.5,79.1,88.8,92.9,77.2,98.7,84.5,84.5,84.5
784,"ARE","United Arab Emirates",62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1
826,"GBR","United Kingdom",85.8,94.3,87.2,84.1,90.7,90.1,79.1,91.6,90.9,88.9,92.2,93.3,84.9,95.6,93.2,90.9,94.9,81.6,87.1,100,100,90.5,98.6,90.3,100,82.3,91.9,100,100,100
840,"USA","United States of America",62.1,69.6,71.6,75.7,73.3,75,76.4,70.5,73.7,86.5,83.4,82.1,83.3,83.3,90.7,87.9,84.3,77.6,91,96.4,96.5,100,100,100,99.2,100,100,100,100,100
858,"URY","Uruguay",60,63.4,54.2,62.2,61.4,61.4,50.5,62.8,68.8,74.3,72.9,83.9,79.7,72.2,70.6,78.6,73,82.3,83.3,85.9,81.9,78.1,100,49.3,100,85.8,87.5,53.4,53.4,53.4
860,"UZB","Uzbekistan",72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
548,"VUT","Vanuatu",67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2,67.2
862,"VEN","Venezuela",72.8,74,75.1,76.8,81.2,84,83.3,81,83.1,85.1,80.6,85.1,86.3,80.9,75.3,84.1,80,83.1,88.2,88.9,74.7,76.9,67.9,62.9,67.2,87.6,75.9,73.9,73.9,73.9
704,"VNM","Viet Nam",56.9,59,61.3,63.2,65.1,68.1,69.9,75.6,77.6,81.4,82.8,83.7,86.1,87.4,90.8,92.7,96.9,98.7,98.5,100,100,99.7,99.7,100,100,100,100,100,100,100
876,"WLF","Wallis and Futuna Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,"YEM","Yemen",35,27.4,26.5,35,36.7,35.3,34.3,28.7,21.3,20,20,29.1,31.9,28.1,28.6,34.7,31,32.6,30.3,28.3,20.9,16.9,17.4,16.5,24.9,49.8,55.8,26.2,26.2,26.2
894,"ZMB","Zambia",17.6,26.8,19.9,16.7,19.3,21.9,18.1,24.5,24.6,24.9,28.3,32.2,32.4,31.6,30.4,36.7,43.4,38.1,36.9,42.3,46.8,42.2,45.3,43.6,47.9,46.6,45.6,39.6,39.6,39.6
716,"ZWE","Zimbabwe",0.9,16.4,12,11,12.4,15.1,15.2,0.1,7.8,15.4,2,8.5,6.9,0,0.2,5.2,1.5,4.1,5.4,8.3,1,0,15,16.3,5.1,14.8,22.4,18.7,18.7,18.7
