"code","iso","country","SDA.ind.1995","SDA.ind.1996","SDA.ind.1997","SDA.ind.1998","SDA.ind.1999","SDA.ind.2000","SDA.ind.2001","SDA.ind.2002","SDA.ind.2003","SDA.ind.2004","SDA.ind.2005","SDA.ind.2006","SDA.ind.2007","SDA.ind.2008","SDA.ind.2009","SDA.ind.2010","SDA.ind.2011","SDA.ind.2012","SDA.ind.2013","SDA.ind.2014","SDA.ind.2015","SDA.ind.2016","SDA.ind.2017","SDA.ind.2018","SDA.ind.2019","SDA.ind.2020","SDA.ind.2021","SDA.ind.2022","SDA.ind.2023","SDA.ind.2024"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,29.8,43.9,55.5,55.5,55.5,55.5
8,"ALB","Albania",100,100,100,100,100,100,66.2,37.7,18.8,8,6,15.9,72.4,100,100,100,100,100,100,100,100,100,100,100,100,100,86.3,69.2,69.2,69.2
12,"DZA","Algeria",66.6,66.6,66.6,66.6,66.6,66.5,68,55.8,47.3,42.1,40.2,39.4,40.2,63.4,78,95.4,100,100,100,100,100,100,100,100,100,100,93.5,86.8,86.8,86.8
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",71.3,71.3,71.3,71.3,71.3,57.2,39.9,34,19.4,15,27.2,24.8,17.9,18.4,0,0,0,0,0,0,0,0,0,22.1,32.6,59.6,71.3,75.4,75.4,75.4
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",43.2,43.2,43.2,43.2,43.2,48.4,57.2,100,100,100,100,100,100,100,100,76.3,49.1,67.8,76.3,83.4,90.7,100,97.5,93.6,83.6,69.1,73.8,72.9,72.9,72.9
32,"ARG","Argentina",61.8,61.8,61.8,61.8,61.8,66.6,72.5,74.3,73.7,72.7,71.6,74,73.9,66.5,62.4,52.2,49.2,53.3,62,61.6,55.3,61.9,71.9,82.4,98.1,95.8,91.3,90.4,90.4,90.4
51,"ARM","Armenia",100,100,100,100,100,100,100,62.6,0,0,0,0,0,0,32,46.1,61.4,58.2,50.8,49.9,33,19.5,20.6,35.4,53.5,70.6,86.7,95.8,95.8,95.8
533,"ABW","Aruba",26.7,26.7,26.7,26.7,26.7,43.2,69.9,71.1,72.4,74,68.7,72.7,79.4,87.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
36,"AUS","Australia",100,100,100,100,100,100,100,100,91.2,78.8,72.1,68.3,73.7,76.8,75.3,74.1,74.7,76.3,79.7,79.1,84.5,95.5,100,100,100,100,100,100,100,100
40,"AUT","Austria",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
31,"AZE","Azerbaijan",71.5,71.5,71.5,71.5,71.5,69.2,82.8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,53.7,41.8,49.8,83.7,88,82.7,82.7,82.7
44,"BHS","Bahamas",72.5,72.5,72.5,72.5,72.5,72.8,80.9,100,100,100,100,100,100,100,100,100,58.7,68.5,80,84,87.8,94.1,94.4,100,97.1,71,73.8,73.9,73.9,73.9
48,"BHR","Bahrain",3.1,3.1,3.1,3.1,3.1,19.8,40,54.1,52.5,52.4,39.6,15,1,0,8.3,20.8,34.3,50.2,66.4,85.9,91.5,73,61.9,55.4,43.9,31.2,21.9,17.2,17.2,17.2
50,"BGD","Bangladesh",55.9,55.9,55.9,55.9,55.9,61.3,66.1,70.3,74.6,83.9,70.4,65.7,55.5,45.3,34.8,29,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0
52,"BRB","Barbados",65.5,65.5,65.5,65.5,65.5,63.2,52.6,100,100,100,100,100,100,100,100,75.2,46,64.4,73.1,76.4,81.6,91.4,98.4,100,91.1,74.3,77.6,74.6,74.6,74.6
112,"BLR","Belarus",100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.7,93.7,100,100,100,100,100,100,100,100,100,97.9,84,71.4,71.4,71.4
56,"BEL","Belgium",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
84,"BLZ","Belize",30.8,30.8,30.8,30.8,30.8,21.3,11.1,82.6,100,100,100,100,100,100,100,94.5,49.1,63.6,74.9,90.2,100,100,100,95.5,82.9,68.5,73.4,72.9,72.9,72.9
204,"BEN","Benin",11,11,11,11,11,10.6,17.2,23,33.5,44.5,55.7,45.5,21.7,9.5,0,0,0,7.3,17.6,25.9,31.8,33.4,29.7,29.9,22.4,12.7,32.2,49.8,49.8,49.8
60,"BMU","Bermuda",65.8,65.8,65.8,65.8,65.8,60.3,61.6,100,100,100,100,100,100,100,100,100,93.6,98.2,97.9,83.4,83.9,83.8,86.1,86.6,82.4,69.2,71.5,70.5,70.5,70.5
64,"BTN","Bhutan",65.1,65.1,65.1,65.1,65.1,76.8,88.9,96.2,100,100,100,97.1,78.3,59.8,42.5,37.9,31.4,23.3,15.4,11.7,10.6,14.7,23.4,28.5,42.3,54.7,62.4,62.4,62.4,62.4
68,"BOL","Bolivia",63,63,63,63,63,67.7,59.6,52.9,49.2,39.9,24.7,14.7,13.2,23.6,43.1,59.8,62.3,58.1,57.4,64.5,82.4,99.6,96.8,98,96.3,100,98.5,81.5,81.5,81.5
70,"BIH","Bosnia and Herzegovina",0,0,0,0,0,0,0,0,0,0,0,28.2,36.2,34.2,40.9,43.5,42.6,46.3,50.7,59,66.6,65.9,63.5,57.9,61,63.5,61.5,63.7,63.7,63.7
72,"BWA","Botswana",0,0,0,0,0,0,0,0,12.1,63.4,56.6,58.6,67.8,67,67.2,74.5,100,100,100,92.4,74.9,70.4,86.4,90.1,97.4,100,100,100,100,100
76,"BRA","Brazil",43.4,43.4,43.4,43.4,43.4,47.5,56.2,66.9,78.8,92.9,100,100,100,100,100,100,100,91.9,76.3,65.5,59.2,60.1,62.1,67.5,75,80.6,83.5,95.3,95.3,95.3
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",22,22,22,22,22,30.3,39.7,51.2,61.1,61,61.6,54.9,45.2,26.1,10.8,0.7,0,0,0,8.9,24.5,0,0,20.8,0,0,0,0,0,0
100,"BGR","Bulgaria",68.7,68.7,68.7,68.7,68.7,74,77.8,98.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
854,"BFA","Burkina Faso",41.9,41.9,41.9,41.9,41.9,33.7,25.4,23.5,24.3,25.6,29.4,28,22.6,21.2,24.8,26.9,31.8,42.1,55.6,64.9,70.3,69.5,57.2,48.7,41.1,34.8,32.5,27.2,27.2,27.2
108,"BDI","Burundi",60.7,60.7,60.7,60.7,60.7,100,100,100,100,100,100,100,100,81.7,66.3,59.5,59.6,61,69.4,72.1,86.3,92.6,91.4,86.1,77.8,70.4,66.5,59.3,59.3,59.3
132,"CPV","Cabo Verde",13.8,13.8,13.8,13.8,13.8,5.1,0,0,0,0,0,0,0,16.3,30.6,46.3,48.7,52,60.5,61.7,53.8,47.3,28.1,24.2,20.6,23.2,21.2,15.9,15.9,15.9
116,"KHM","Cambodia",19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,24.8,32.4,15.1,17.6,17,16.1,18.1,26,33.6,43.4,56.1,60.8,60.3,48.1,34.5,22.2,5,0,0,2.9,2.9,2.9
120,"CMR","Cameroon",67.5,67.5,67.5,67.5,67.5,59.9,58.2,56.4,54.5,51,47.6,46.8,42.8,40.5,34.3,25.7,24.1,24.7,25.9,26.2,37.7,51.1,60.8,67.9,71.9,73.2,76.5,77.1,77.1,77.1
124,"CAN","Canada",100,100,100,100,100,97.4,92.9,90.1,89.9,95.7,98.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
136,"CYM","Cayman Islands",96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,100,100,96,81.8,68.4,74.2,74.2,74.2,74.2
140,"CAF","Central African Republic",50.1,50.1,50.1,50.1,50.1,47.5,46.3,49,54.3,59.9,63.9,68.4,72.2,73.7,72.1,67.2,65.3,66.2,70.8,72.3,71.5,69.8,63.3,57.8,52.3,44.9,42.1,36.2,36.2,36.2
148,"TCD","Chad",54,54,54,54,54,42.2,38.7,37.6,36,35.5,33.8,33.9,34.8,36.1,39.6,40.6,46.5,54.6,62.6,69.6,80.6,94.8,97.9,95,87.8,77.6,73.2,67.3,67.3,67.3
152,"CHL","Chile",79.7,79.7,79.7,79.7,79.7,82.8,93.6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.3,99.1,99.1,99.1
156,"CHN","China",55.1,55.1,55.1,55.1,55.1,60.1,63.8,65.2,59.5,47.6,29.2,15.2,7.4,8.2,19.2,36.8,53.9,72.1,100,100,100,100,100,100,100,100,100,100,100,100
170,"COL","Colombia",69.3,69.3,69.3,69.3,69.3,76.4,86,94.7,100,100,100,100,100,94.5,86.3,67.9,59.2,53.2,39.6,40.6,42.9,46,58,68.4,73.3,70.6,81.2,99.4,99.4,99.4
174,"COM","Comoros",65.6,65.6,65.6,65.6,65.6,58.2,48.4,43,38.3,32.4,23.9,24.3,31.6,36.4,41.4,44.6,46.4,52.8,61.7,64.5,60.7,56,48.6,42.6,38,32.8,30.5,25,25,25
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",55.1,55.1,55.1,55.1,55.1,63.8,72.4,79.5,81.3,76.5,68.2,60.3,50.5,45.7,47.5,50.3,45,45.2,40.6,56,91.9,100,100,100,100,100,100,100,100,100
384,"CIV","Cote d'Ivoire",29.3,29.3,29.3,29.3,29.3,29.4,32,41.6,66.8,70.7,73.6,79.5,91.7,100,100,100,100,64.5,63.6,39.3,20.5,31.9,46.8,63.2,80.5,98.6,100,99.4,99.4,99.4
191,"HRV","Croatia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,85.6,100,100,100,100,100,86.7,100,100,100,100,100,100,100,100,100
192,"CUB","Cuba",57.3,57.3,57.3,57.3,57.3,39.9,33.8,39.1,50.1,64,73.2,84.9,86.9,91.8,92.6,82,77.7,70.3,68.5,74.7,73.1,75.3,81.5,94.3,100,100,100,93.1,93.1,93.1
531,"CUW","Curacao",96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,96.5,100,100,100,100,100,100,100,85.9,89,84.7,77.7,77.9,77.9,77.9,77.9
196,"CYP","Cyprus",36.6,36.6,36.6,36.6,36.6,41.7,51.3,56.4,58.8,65.6,80.4,100,100,100,100,100,100,100,100,100,100,94.3,84.4,79.4,82.9,89.3,99.5,100,100,100
203,"CZE","Czech Republic",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
180,"COD","Dem. Rep. Congo",91.9,91.9,91.9,91.9,91.9,95.1,99.6,98,99.6,89.2,73,40.2,36.1,28.9,25.7,26.1,25.5,37,38.3,33.7,41.9,54.3,65.8,78.8,95.4,100,100,100,100,100
208,"DNK","Denmark",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
262,"DJI","Djibouti",17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7,17.7
212,"DMA","Dominica",26.2,26.2,26.2,26.2,26.2,24.8,24.9,75.8,100,100,100,100,100,100,100,83.8,60.6,79.2,91.5,100,100,100,100,100,95.1,69.1,74.1,73.3,73.3,73.3
214,"DOM","Dominican Republic",13.9,13.9,13.9,13.9,13.9,12.2,8.9,1.1,15.8,30.7,40.4,54.5,66.3,71.6,87.2,98.2,96.5,84.9,79.5,86.3,73,63,59.4,51.5,44.6,47.1,52.1,60.8,60.8,60.8
218,"ECU","Ecuador",26.3,26.3,26.3,26.3,26.3,39.6,48.9,54.4,69.9,84.2,91.9,83.8,71.6,63.1,52.2,49.1,43.2,36.8,33.9,34.6,37.9,46.4,62,75.5,93.4,100,100,100,100,100
818,"EGY","Egypt",64.7,64.7,64.7,64.7,64.7,65,68.8,70.1,72.3,73.2,72.2,70.1,61.8,45,31.5,26.9,33.4,38.7,45.5,39.8,42.2,50.3,65.9,89,100,100,100,100,100,100
222,"SLV","El Salvador",0,0,0,0,0,14.8,19.8,22.1,25.5,31.3,33,39,32.9,37,48.3,63.6,73.7,80.2,94.1,100,100,98.7,100,100,100,100,100,100,100,100
226,"GNQ","Equatorial Guinea",10.6,10.6,10.6,10.6,10.6,0,0,0,0,0,0,0,0,0,20.6,49,100,100,100,100,100,100,83.3,62.6,44.6,25.8,21.7,16.8,16.8,16.8
232,"ERI","Eritrea",100,100,100,100,100,100,100,100,100,100,87.4,70.2,59.9,72.3,76.5,84.6,93.1,94,96.3,93.9,94.4,98,96.7,89.3,74.5,74.5,74.5,74.5,74.5,74.5
233,"EST","Estonia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
748,"SWZ","Eswatini",46.6,46.6,46.6,46.6,46.6,54.5,56.5,76,100,100,100,100,100,100,100,100,100,100,89.4,72.5,69.6,62.4,57.9,50,41.3,57.4,73.9,87.7,87.7,87.7
231,"ETH","Ethiopia",54,54,54,54,54,42.5,24.5,30.2,35.3,34.6,34.7,34.9,36.7,35.6,38.3,41.8,38.6,36.5,34.4,36.1,42.9,45.2,51.4,50.9,49.6,56.5,59.1,59.1,59.1,59.1
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",63.7,63.7,63.7,63.7,63.7,58.3,48.5,49.8,45.6,33.7,19.2,10.7,32.2,63,100,100,100,100,100,100,88.5,61.7,48.8,39.6,50.3,53.8,64.9,71,71,71
246,"FIN","Finland",100,100,100,100,100,100,100,100,97.9,90.2,100,93,90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
250,"FRA","France",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",22.9,22.9,22.9,22.9,22.9,38.6,47.2,55.9,60.2,64.7,59.2,51.1,38.9,25,18.8,9.5,6.7,10.3,11,28.6,41.2,53.5,88.5,100,100,100,100,100,100,100
270,"GMB","Gambia",46.2,46.2,46.2,46.2,46.2,37.9,27.9,22.9,21.8,21.2,22,27.7,33.4,36,36.8,35.3,43.9,53.5,67,72.5,73,74,66.2,56.7,44.2,28.6,26.4,21.1,21.1,21.1
268,"GEO","Georgia",100,100,100,100,100,100,100,100,100,100,100,100,100,100,59.6,19.9,39.3,61.6,75.8,87.2,84.1,95.5,79.2,67.6,53.6,58.9,69.1,88.5,88.5,88.5
276,"DEU","Germany",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
288,"GHA","Ghana",0.1,0.1,0.1,0.1,0.1,0,0,0,0,4.2,26.6,30.4,39.5,37.6,35.3,42.2,60.7,39.2,19.3,45,77.7,58.3,46.2,47.3,56.5,78.4,100,100,100,100
300,"GRC","Greece",64,64,64,64,64,63.6,64.3,65.7,67.4,68.2,69,74.4,78.4,87.6,100,100,100,100,100,92.2,80,75.3,82.6,89.5,100,100,100,100,100,100
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,"GRD","Grenada",8.7,8.7,8.7,8.7,8.7,17.4,29.2,84,100,100,100,100,100,100,100,83.1,59.2,73.4,82.8,100,100,100,100,100,85.7,68.9,73.4,72.6,72.6,72.6
320,"GTM","Guatemala",0,0,0,0,0,0,0,5,5.8,18.2,21.7,30.6,40.5,44.7,49.3,62.7,68.7,71.1,70.4,77.1,70,60.9,55.5,49.2,37.4,45.7,48.6,53.4,53.4,53.4
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",55.6,55.6,55.6,55.6,55.6,53.7,49.7,51.2,53.6,54.7,53.9,53.3,54,38.3,24.7,9.8,5.2,9,20.5,29.6,36.6,46.7,54.9,48.8,41.7,29.5,27.3,22,22,22
624,"GNB","Guinea-Bissau",74.4,74.4,74.4,74.4,74.4,78,80.2,81.7,78.3,74.7,70.9,55.8,41.3,40.2,35.3,41.5,51.8,66.5,79.7,87,79,73.8,62.9,54,43.8,34,31.6,26.1,26.1,26.1
328,"GUY","Guyana",61.7,61.7,61.7,61.7,61.7,67.1,74.4,83.7,94.5,97.5,100,100,100,95.1,87.3,69.8,63.8,52.3,40,27.9,29.3,40.3,41.2,41.2,47.2,48.8,57.1,62.4,62.4,62.4
332,"HTI","Haiti",59.7,59.7,59.7,59.7,59.7,43.4,24.2,3.5,6.9,57.5,73.5,100,81.4,71.5,68,60.2,31.5,0,0,0,0,0,0,0,26.5,53.5,59.8,64.8,64.8,64.8
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,25.4,34.7,45.6,55.2,57.8,60.1,51.6,60.5,71.1,74.1,93,98.7,100,100,100
344,"HKG","Hong Kong",100,100,100,100,100,100,100,100,99.1,83.3,65.7,61.3,60.9,52.2,40.1,53.7,59.6,65.5,61.3,60.9,65.9,70.4,72.7,77.2,81.4,100,100,100,100,100
348,"HUN","Hungary",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
352,"ISL","Iceland",100,100,100,100,100,100,100,100,100,100,97,93.7,69.4,48.8,29.8,21.5,14,8.9,10.1,22.7,36.2,62.5,77.4,84.8,93.4,100,100,100,100,100
356,"IND","India",37.7,37.7,37.7,37.7,37.7,40.1,41.7,42.6,43.3,43.2,41.3,36.1,30.6,26.7,22.8,21.8,23.9,26.5,30.6,33.1,36.2,37.5,36.7,37.7,41.7,49.6,54.3,57,57,57
360,"IDN","Indonesia",25.6,25.6,25.6,25.6,25.6,23.1,19.7,20,20.5,23,22.1,27.3,31.1,35.9,38.5,39,32.7,27.5,27,25.1,23.8,27.4,32.8,36.5,41.1,46.5,47.6,41,41,41
364,"IRN","Iran",36.2,36.2,36.2,36.2,36.2,40.5,41.6,46.2,52.9,53.8,53.5,52,50.5,51.8,53.9,57.4,56.7,64.9,78.3,93.5,100,100,100,100,100,100,99,88.1,88.1,88.1
368,"IRQ","Iraq",19.8,19.8,19.8,19.8,19.8,54.6,100,100,100,100,100,100,100,84.3,95.8,87.4,71.3,57.1,34.9,15.2,12.1,15.3,34.1,41.7,47.1,60.4,73.3,84.6,84.6,84.6
372,"IRL","Ireland",82.1,82.1,82.1,82.1,82.1,86.5,88.2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,59.2,63.1,67.7,79.6,97.9,100,100,86.6,99.3,100,100,100,100,100,100,100,100,100,100,100
380,"ITA","Italy",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,85.2,81.8,88,100,100,100,100,100,100,100,100
388,"JAM","Jamaica",52.8,52.8,52.8,52.8,52.8,52.2,52.5,52.5,53.4,57.1,62.2,61.3,63.2,71.1,89.9,96.6,99.2,100,88.7,87,94.6,94.3,92.4,68.4,65.2,86.8,100,100,100,100
392,"JPN","Japan",100,100,100,100,100,100,100,100,100,100,100,91.8,91,95.5,100,85.7,72,63.5,59.3,59.5,64.7,70.3,80.4,98,100,100,100,100,100,100
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",37.9,37.9,37.9,37.9,37.9,35.7,38.7,37,41.9,56.1,66,82,100,100,100,100,100,75.9,52.1,30.6,23.1,48.5,70.6,100,100,100,100,100,100,100
398,"KAZ","Kazakhstan",79.9,79.9,79.9,79.9,79.9,88.1,83.2,77.7,71.3,60.4,56.7,52.9,59,69.1,98.5,100,100,100,100,100,100,100,100,100,100,98.6,83.3,73.4,73.4,73.4
404,"KEN","Kenya",59.4,59.4,59.4,59.4,59.4,48.2,43.6,43.6,50.7,54.8,56.4,48,48,43.8,36.8,23,13.7,23.6,40.9,52.5,85.7,100,100,100,100,100,100,100,100,100
296,"KIR","Kiribati",30.3,30.3,30.3,30.3,30.3,29.7,39.2,27.3,17.9,18,15.8,0,13.9,22,49.8,56.8,83.3,83.5,87.5,88.9,70.2,49.8,51.2,45.6,57.7,59.9,67.4,69.7,69.7,69.7
689,"XKX","Kosovo",73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,84.5,82.9,75,69.5,68.8,68.8,68.8
414,"KWT","Kuwait",0,0,0,0,0,0,0,0,0,0,0,0,4.1,24.1,35.5,48.2,57.5,64.3,72.9,90.3,98.7,100,100,100,100,96.4,86.6,79.3,79.3,79.3
417,"KGZ","Kyrgyzstan",92.6,92.6,92.6,92.6,92.6,100,100,100,100,72.1,75.6,65.6,51.6,34.3,35.6,37.7,57.2,32.1,33.1,42.2,49.6,53.4,52.6,38.2,57.2,79.7,97.9,79.4,79.4,79.4
418,"LAO","Laos",3.4,3.4,3.4,3.4,3.4,19.5,44.7,57.5,63.2,70.5,75.9,75.5,65.2,56.5,38.8,33,37.2,36.3,15.4,0,0,0,0,0,0,0,0,0,0,0
